epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784410659.850215,CONST200,TAKEOFF,0,0.000000,35.636878,-0.015378,0.132272,1.631964,-0.015378,0.132272,1.671964,0.040000,0
1784410659.900194,CONST200,TAKEOFF,0,0.000000,17.652234,-0.014910,0.130764,1.638035,-0.015378,0.132272,1.728073,0.090051,0
1784410659.950173,CONST200,TAKEOFF,0,0.000000,35.257096,-0.014541,0.130002,1.641423,-0.015378,0.132272,1.784183,0.142781,0
1784410660.000194,CONST200,TAKEOFF,0,0.000000,17.664868,-0.014031,0.128753,1.648865,-0.015378,0.132272,1.840340,0.191513,0
1784410660.050171,CONST200,TAKEOFF,0,0.000000,35.216189,-0.010819,0.128852,1.652417,-0.015378,0.132272,1.896448,0.244097,0
1784410660.100187,CONST200,TAKEOFF,0,0.000000,17.645816,-0.005135,0.129311,1.659331,-0.015378,0.132272,1.952600,0.293463,0
1784410660.150187,CONST200,TAKEOFF,0,0.000000,35.402371,-0.002885,0.129554,1.662850,-0.015378,0.132272,2.008734,0.346121,0
1784410660.200196,CONST200,TAKEOFF,0,0.000000,17.705763,-0.000245,0.129800,1.671447,-0.015378,0.132272,2.064878,0.393730,0
1784410660.250165,CONST200,TAKEOFF,0,0.000000,35.178621,0.000777,0.129978,1.675089,-0.015378,0.132272,2.120977,0.446186,0
1784410660.300197,CONST200,TAKEOFF,0,0.000000,17.678297,0.004186,0.132165,1.679637,-0.015378,0.132272,2.177146,0.497893,0
1784410660.350185,CONST200,TAKEOFF,0,0.000000,35.505333,0.006024,0.133520,1.681519,-0.015378,0.132272,2.233267,0.552164,0
1784410660.400190,CONST200,TAKEOFF,0,0.000000,17.692520,0.011449,0.135062,1.684659,-0.015378,0.132272,2.289407,0.605349,0
1784410660.450173,CONST200,TAKEOFF,0,0.000000,35.319117,0.014973,0.134525,1.685111,-0.015378,0.132272,2.345522,0.661112,0
1784410660.500209,CONST200,TAKEOFF,0,0.000000,17.659946,0.021578,0.133844,1.686385,-0.015378,0.132272,2.401696,0.716267,0
1784410660.550166,CONST200,TAKEOFF,0,0.000000,35.312768,0.025861,0.130428,1.689412,-0.015378,0.132272,2.457782,0.769478,0
1784410660.600182,CONST200,TAKEOFF,0,0.000000,17.724030,0.034928,0.123776,1.695909,-0.015378,0.132272,2.513934,0.819614,0
1784410660.650172,CONST200,TAKEOFF,0,0.000000,35.145717,0.038782,0.121019,1.697786,-0.015378,0.132272,2.570057,0.874023,0
1784410660.700194,CONST200,TAKEOFF,0,0.000000,17.743439,0.046108,0.115008,1.696884,-0.015378,0.132272,2.626216,0.931523,0
1784410660.750174,CONST200,TAKEOFF,0,0.000000,35.380091,0.049579,0.112242,1.696833,-0.015378,0.132272,2.682326,0.987835,0
1784410660.800194,CONST200,TAKEOFF,0,0.000000,17.723263,0.053523,0.106253,1.693431,-0.015378,0.132272,2.738482,1.047643,0
1784410660.850180,CONST200,TAKEOFF,0,0.000000,35.524094,0.054857,0.103740,1.691926,-0.015378,0.132272,2.794601,1.105278,0
1784410660.900168,CONST200,TAKEOFF,0,0.000000,17.642936,0.055022,0.100327,1.687797,-0.015378,0.132272,2.850722,1.165492,0
1784410660.950168,CONST200,TAKEOFF,0,0.000000,35.284767,0.053198,0.099764,1.684603,-0.015378,0.132272,2.906855,1.224607,0
1784410661.000211,CONST200,TAKEOFF,0,0.000000,17.662294,0.049964,0.098335,1.678870,-0.015378,0.132272,2.963038,1.286277,0
1784410661.050165,CONST200,TAKEOFF,0,0.000000,35.324038,0.047412,0.099374,1.676109,-0.015378,0.132272,3.019120,1.344881,0
1784410661.100213,CONST200,TAKEOFF,0,0.000000,17.736523,0.042917,0.100872,1.671645,-0.015378,0.132272,3.075308,1.405224,0
1784410661.150164,CONST200,TAKEOFF,0,0.000000,35.423333,0.040920,0.100870,1.669591,-0.015378,0.132272,3.131387,1.463217,0
1784410661.200201,CONST200,TAKEOFF,0,0.000000,17.732648,0.036663,0.097435,1.664266,-0.015378,0.132272,3.187562,1.524583,0
1784410661.250148,CONST200,TAKEOFF,0,0.000000,35.112483,0.035094,0.096055,1.662423,-0.015378,0.132272,3.243637,1.582434,0
1784410661.300184,CONST200,TAKEOFF,0,0.000000,17.762399,0.032467,0.090263,1.658026,-0.015378,0.132272,3.299811,1.643019,0
1784410661.350171,CONST200,TAKEOFF,0,0.000000,35.339477,0.031365,0.087200,1.656096,-0.015378,0.132272,3.355931,1.701076,0
1784410661.400194,CONST200,TAKEOFF,0,0.000000,17.690647,0.029776,0.081117,1.654731,-0.015378,0.132272,3.412090,1.758683,0
1784410661.450206,CONST200,TAKEOFF,0,0.000000,35.327729,0.029614,0.078788,1.655985,-0.015378,0.132272,3.468237,1.813600,0
1784410661.500194,CONST200,TAKEOFF,0,0.000000,17.737093,0.029328,0.074526,1.658697,-0.015378,0.132272,3.524357,1.867089,0
1784410661.550194,CONST200,TAKEOFF,0,0.000000,35.459430,0.028775,0.072879,1.656102,-0.015378,0.132272,3.580492,1.925812,0
1784410661.600204,CONST200,TAKEOFF,0,0.000000,17.630813,0.027971,0.069584,1.651828,-0.015378,0.132272,3.636636,1.986271,0
