epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784324270.103271,FIXED400,TAKEOFF,0,0.000000,7.278799,0.053301,-0.044809,1.266836,0.051711,-0.043266,1.322207,0.055415,0
1784324270.153341,FIXED400,TAKEOFF,0,0.000000,22.265051,0.054647,-0.046046,1.262025,0.051711,-0.043266,1.384425,0.122467,0
1784324270.203274,FIXED400,TAKEOFF,0,0.000000,7.669103,0.057171,-0.049594,1.254164,0.051711,-0.043266,1.446472,0.192489,0
1784324270.253319,FIXED400,TAKEOFF,0,0.000000,22.294065,0.058876,-0.053075,1.250550,0.051711,-0.043266,1.508660,0.258396,0
1784324270.303263,FIXED400,TAKEOFF,0,0.000000,7.768539,0.061248,-0.057286,1.245921,0.051711,-0.043266,1.570720,0.325242,0
1784324270.353322,FIXED400,TAKEOFF,0,0.000000,22.268612,0.062787,-0.058235,1.244961,0.051711,-0.043266,1.632926,0.388412,0
1784324270.403269,FIXED400,TAKEOFF,0,0.000000,7.699098,0.065434,-0.059548,1.243196,0.051711,-0.043266,1.694991,0.452296,0
1784324270.453316,FIXED400,TAKEOFF,0,0.000000,22.234125,0.066532,-0.060195,1.242471,0.051711,-0.043266,1.757182,0.515202,0
1784324270.503262,FIXED400,TAKEOFF,0,0.000000,7.722495,0.067214,-0.061088,1.241996,0.051711,-0.043266,1.819245,0.577731,0
1784324270.553321,FIXED400,TAKEOFF,0,0.000000,22.254241,0.067388,-0.061269,1.241809,0.051711,-0.043266,1.881450,0.640086,0
1784324270.603272,FIXED400,TAKEOFF,0,0.000000,7.612958,0.068300,-0.061068,1.247669,0.051711,-0.043266,1.943521,0.696277,0
1784324270.653312,FIXED400,TAKEOFF,0,0.000000,22.244735,0.068780,-0.060570,1.252013,0.051711,-0.043266,2.005702,0.754081,0
1784324270.703274,FIXED400,TAKEOFF,0,0.000000,7.832896,0.069123,-0.058993,1.257878,0.051711,-0.043266,2.067785,0.810247,0
1784324270.753324,FIXED400,TAKEOFF,0,0.000000,22.239241,0.069112,-0.057910,1.260397,0.051711,-0.043266,2.129980,0.869880,0
1784324270.803288,FIXED400,TAKEOFF,0,0.000000,7.801492,0.068791,-0.055578,1.264691,0.051711,-0.043266,2.192066,0.927614,0
1784324270.853315,FIXED400,TAKEOFF,0,0.000000,22.259598,0.068624,-0.055560,1.270801,0.051711,-0.043266,2.254231,0.983652,0
1784324270.903275,FIXED400,TAKEOFF,0,0.000000,7.564177,0.068037,-0.055157,1.279121,0.051711,-0.043266,2.316313,1.037388,0
1784324270.953301,FIXED400,TAKEOFF,0,0.000000,22.271595,0.068101,-0.054623,1.282194,0.051711,-0.043266,2.378477,1.096464,0
1784324271.003263,FIXED400,TAKEOFF,0,0.000000,7.909537,0.068734,-0.053074,1.286428,0.051711,-0.043266,2.440560,1.154300,0
1784324271.053332,FIXED400,TAKEOFF,0,0.000000,22.237734,0.068899,-0.052053,1.288625,0.051711,-0.043266,2.502777,1.214306,0
1784324271.103268,FIXED400,TAKEOFF,0,0.000000,7.727280,0.068183,-0.048729,1.294027,0.051711,-0.043266,2.564829,1.270921,0
1784324271.153318,FIXED400,TAKEOFF,0,0.000000,22.209644,0.067695,-0.046939,1.296576,0.051711,-0.043266,2.627024,1.330549,0
1784324271.203281,FIXED400,TAKEOFF,0,0.000000,7.868725,0.066457,-0.043249,1.302402,0.051711,-0.043266,2.689109,1.386785,0
1784324271.253334,FIXED400,TAKEOFF,0,0.000000,22.186826,0.065504,-0.040902,1.306903,0.051711,-0.043266,2.751307,1.444472,0
1784324271.303273,FIXED400,TAKEOFF,0,0.000000,7.747024,0.063861,-0.037852,1.312193,0.051711,-0.043266,2.813361,1.501227,0
1784324271.353331,FIXED400,TAKEOFF,0,0.000000,22.214202,0.062784,-0.038750,1.311435,0.051711,-0.043266,2.875566,1.564176,0
1784324271.403267,FIXED400,TAKEOFF,0,0.000000,7.662677,0.060588,-0.039933,1.309951,0.051711,-0.043266,2.937617,1.627693,0
1784324271.453318,FIXED400,TAKEOFF,0,0.000000,22.207066,0.059559,-0.041706,1.311808,0.051711,-0.043266,2.999811,1.688022,0
1784324271.503292,FIXED400,TAKEOFF,0,0.000000,7.722491,0.058775,-0.046871,1.320387,0.051711,-0.043266,3.061909,1.741540,0
1784324271.553305,FIXED400,TAKEOFF,0,0.000000,22.213401,0.058323,-0.048916,1.324152,0.051711,-0.043266,3.124058,1.799927,0
1784324271.603291,FIXED400,TAKEOFF,0,0.000000,7.869917,0.062037,-0.051775,1.333233,0.051711,-0.043266,3.186171,1.852987,0
1784324271.653315,FIXED400,TAKEOFF,0,0.000000,22.189305,0.064964,-0.053115,1.338720,0.051711,-0.043266,3.248332,1.909684,0
1784324271.703306,FIXED400,TAKEOFF,0,0.000000,7.734901,0.068544,-0.055738,1.348408,0.051711,-0.043266,3.310453,1.962157,0
1784324271.753317,FIXED400,TAKEOFF,0,0.000000,22.292641,0.069878,-0.057242,1.353608,0.051711,-0.043266,3.372598,2.019121,0
1784324271.803265,FIXED400,TAKEOFF,0,0.000000,7.838999,0.072096,-0.059798,1.362713,0.051711,-0.043266,3.434664,2.072117,0
1784324271.853329,FIXED400,TAKEOFF,0,0.000000,22.210894,0.074341,-0.062060,1.364930,0.051711,-0.043266,3.496877,2.132150,0
1784324271.903264,FIXED400,TAKEOFF,0,0.000000,7.742239,0.077263,-0.065010,1.368005,0.051711,-0.043266,3.558925,2.191177,0
1784324271.953325,FIXED400,TAKEOFF,0,0.000000,22.144928,0.078759,-0.066720,1.370183,0.051711,-0.043266,3.621135,2.251237,0
1784324272.003274,FIXED400,TAKEOFF,0,0.000000,7.904864,0.081784,-0.070493,1.375366,0.051711,-0.043266,3.683201,2.308191,0
1784324272.053314,FIXED400,TAKEOFF,0,0.000000,22.228693,0.083375,-0.072455,1.378096,0.051711,-0.043266,3.745383,2.367679,0
1784324272.103276,FIXED400,TAKEOFF,0,0.000000,7.904821,0.081568,-0.075256,1.383527,0.051711,-0.043266,3.807466,2.424334,0
1784324272.153330,FIXED400,TAKEOFF,0,0.000000,22.329974,0.080385,-0.076484,1.385997,0.051711,-0.043266,3.869667,2.484058,0
1784324272.203281,FIXED400,TAKEOFF,0,0.000000,7.774921,0.079080,-0.080069,1.390130,0.051711,-0.043266,3.931736,2.542020,0
1784324272.253325,FIXED400,TAKEOFF,0,0.000000,22.242970,0.079229,-0.083504,1.392209,0.051711,-0.043266,3.993923,2.602170,0
1784324272.303292,FIXED400,TAKEOFF,0,0.000000,7.775781,0.079157,-0.088888,1.395177,0.051711,-0.043266,4.056026,2.661382,0
1784324272.353333,FIXED400,TAKEOFF,0,0.000000,22.152540,0.078810,-0.093176,1.396942,0.051711,-0.043266,4.118195,2.721846,0
1784324272.403275,FIXED400,TAKEOFF,0,0.000000,7.713942,0.077917,-0.100747,1.400146,0.051711,-0.043266,4.180253,2.780824,0
1784324272.453314,FIXED400,TAKEOFF,0,0.000000,22.257085,0.077179,-0.104374,1.401335,0.051711,-0.043266,4.242433,2.841869,0
1784324272.503275,FIXED400,TAKEOFF,0,0.000000,7.695504,0.075527,-0.108578,1.401838,0.051711,-0.043266,4.304516,2.903510,0
1784324272.553323,FIXED400,TAKEOFF,0,0.000000,22.182728,0.074598,-0.110462,1.402196,0.051711,-0.043266,4.366708,2.965362,0
1784324272.603267,FIXED400,TAKEOFF,0,0.000000,7.812487,0.075487,-0.111112,1.397485,0.051711,-0.043266,4.428769,3.032137,0
1784324272.653303,FIXED400,TAKEOFF,0,0.000000,22.244692,0.076320,-0.110903,1.393968,0.051711,-0.043266,4.490945,3.097813,0
1784324272.703281,FIXED400,TAKEOFF,0,0.000000,7.965305,0.076615,-0.108750,1.389301,0.051711,-0.043266,4.553050,3.164524,0
1784324272.753336,FIXED400,TAKEOFF,0,0.000000,22.229181,0.076322,-0.106949,1.387385,0.051711,-0.043266,4.615250,3.228587,0
1784324272.803271,FIXED400,TAKEOFF,0,0.000000,7.987049,0.075432,-0.103914,1.384158,0.051711,-0.043266,4.677300,3.293786,0
1784324272.853329,FIXED400,TAKEOFF,0,0.000000,22.245975,0.073931,-0.099499,1.386718,0.051711,-0.043266,4.739503,3.353331,0
1784324272.903318,FIXED400,TAKEOFF,0,0.000000,7.749105,0.071577,-0.093612,1.390424,0.051711,-0.043266,4.801621,3.411626,0
1784324272.953310,FIXED400,TAKEOFF,0,0.000000,22.229768,0.070448,-0.091558,1.390575,0.051711,-0.043266,4.863743,3.473554,0
1784324273.003312,FIXED400,TAKEOFF,0,0.000000,7.947156,0.068146,-0.088826,1.388131,0.051711,-0.043266,4.925877,3.538077,0
1784324273.053331,FIXED400,TAKEOFF,0,0.000000,22.352497,0.066717,-0.087421,1.386924,0.051711,-0.043266,4.988032,3.601409,0
1784324273.103280,FIXED400,WAITING,0,0.000000,7.589844,0.064014,-0.083097,1.391700,0.051711,-0.043266,5.000000,3.608541,0
1784324273.153337,FIXED400,WAITING,0,0.000000,22.233656,0.062622,-0.081030,1.394305,0.000000,0.000000,5.000000,3.607149,0
1784324273.203269,FIXED400,TRACKING,400,26.604738,33.922559,0.060191,-0.077876,1.401090,0.000000,0.000000,5.000000,3.600256,0
1784324273.253330,FIXED400,TRACKING,400,29.140964,51.571291,0.058984,-0.076434,1.406872,0.000000,0.000000,5.000000,3.594425,0
1784324273.303264,FIXED400,TRACKING,400,26.442436,34.610462,0.056930,-0.074779,1.414431,0.000000,0.000000,5.000000,3.586801,0
1784324273.353418,FIXED400,TRACKING,400,28.542362,50.961227,0.055730,-0.075222,1.415880,0.000000,0.000000,5.000000,3.585342,0
1784324273.403316,FIXED400,TRACKING,400,26.840477,35.094528,0.053206,-0.076079,1.418548,0.000000,0.000000,5.000000,3.582655,0
1784324273.453326,FIXED400,TRACKING,400,28.383564,50.811427,0.052060,-0.076578,1.417864,0.000000,0.000000,5.000000,3.583333,0
1784324273.503394,FIXED400,TRACKING,400,27.235472,35.538077,0.050913,-0.077370,1.412213,0.000000,0.000000,5.000000,3.588983,0
1784324273.553329,FIXED400,TRACKING,400,27.055619,49.297086,0.050105,-0.077672,1.409824,0.000000,0.000000,5.000000,3.591365,0
1784324273.603307,FIXED400,TRACKING,400,27.416344,35.639104,0.051782,-0.076833,1.402174,0.000000,0.000000,5.000000,3.599019,0
1784324273.653332,FIXED400,TRACKING,400,27.587074,49.993290,0.053068,-0.076043,1.397395,0.000000,0.000000,5.000000,3.603798,0
1784324273.703285,FIXED400,TRACKING,400,26.696811,34.814941,0.055124,-0.075323,1.388349,0.000000,0.000000,5.000000,3.612857,0
1784324273.753409,FIXED400,TRACKING,400,26.928121,48.918473,0.056151,-0.075139,1.383231,0.000000,0.000000,5.000000,3.617985,0
1784324273.803269,FIXED400,TRACKING,400,26.901179,34.867498,0.057690,-0.074648,1.374220,0.000000,0.000000,5.000000,3.627008,0
1784324273.853334,FIXED400,TRACKING,400,27.424624,49.822539,0.057583,-0.077493,1.370076,0.000000,0.000000,5.000000,3.631208,0
1784324273.903336,FIXED400,TRACKING,400,28.115302,36.363701,0.057148,-0.081472,1.364280,0.000000,0.000000,5.000000,3.637082,0
1784324273.953339,FIXED400,TRACKING,400,26.938110,48.760097,0.057071,-0.084047,1.362322,0.000000,0.000000,5.000000,3.639096,0
