[INFO] [launch]: All log files can be found below /home/drone/.ros/log/2026-07-17-23-42-45-441492-drone-ASUS-TUF-Gaming-F15-FX507VV-FX507VV-94085
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [94086]
[mavros_node-1] [INFO] [1784328165.542432705] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1784328165.542473698] [mavros.mavros_node]: FCU URL: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784328165.542478360] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1784328165.542481289] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1784328165.542483896] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1784328165.545570893] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1784328165.545583491] [mavros.mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1784328165.545591087] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1784328165.545595869] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1784328165.545617082] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1784328165.563378242] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784328165.563405270] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1784328165.563629910] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1784328165.563638494] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1784328165.563646285] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1784328165.564500301] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1784328165.565599100] [mavros.mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1784328165.573490101] [mavros.mavros]: UAS Executor started, threads: 16
[mavros_node-1] [INFO] [1784328165.581665751] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1784328165.581690154] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1784328165.592480491] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1784328165.592501078] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1784328165.594900830] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1784328165.594924543] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1784328165.597260732] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1784328165.597279932] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1784328165.599714735] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1784328165.599732905] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1784328165.602229605] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1784328165.602245244] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1784328165.605984024] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1784328165.606005173] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1784328165.608686799] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1784328165.608707113] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1784328165.611890225] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1784328165.611914904] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1784328165.611919431] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1784328165.614933627] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1784328165.614954780] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1784328165.617911754] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1784328165.617944987] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1784328165.621555868] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1784328165.621570780] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1784328165.626497804] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1784328165.626518183] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1784328165.630287418] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1784328165.630320460] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1784328165.635701262] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1784328165.635731898] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1784328165.641694992] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1784328165.641738440] [mavros.mavros]: Plugin global_position initialized
