epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss,fallback_active
1784416155.476343,ADAPTIVEQF,TAKEOFF,0,0.000000,2.540033,-0.015760,0.435870,1.274048,-0.015760,0.435870,1.277197,0.003149,0,0
1784416155.501359,ADAPTIVEQF,TAKEOFF,0,0.000000,27.556133,-0.015760,0.435870,1.274048,-0.015760,0.435870,1.308265,0.034217,0,0
1784416155.526321,ADAPTIVEQF,TAKEOFF,0,0.000000,19.752742,-0.017389,0.437257,1.275007,-0.015760,0.435870,1.339268,0.064296,0,0
1784416155.551339,ADAPTIVEQF,TAKEOFF,0,0.000000,9.256722,-0.018722,0.439405,1.275101,-0.015760,0.435870,1.370340,0.095351,0,0
1784416155.576336,ADAPTIVEQF,TAKEOFF,0,0.000000,2.408419,-0.020030,0.441742,1.274919,-0.015760,0.435870,1.401386,0.126675,0,0
1784416155.601339,ADAPTIVEQF,TAKEOFF,0,0.000000,27.409898,-0.020030,0.441742,1.274919,-0.015760,0.435870,1.432439,0.157687,0,0
1784416155.626328,ADAPTIVEQF,TAKEOFF,0,0.000000,20.220323,-0.021393,0.443994,1.274746,-0.015760,0.435870,1.463476,0.188989,0,0
1784416155.651343,ADAPTIVEQF,TAKEOFF,0,0.000000,9.343297,-0.022609,0.446801,1.273185,-0.015760,0.435870,1.494543,0.221733,0,0
1784416155.676337,ADAPTIVEQF,TAKEOFF,0,0.000000,2.527599,-0.021979,0.449188,1.267888,-0.015760,0.435870,1.525585,0.258115,0,0
1784416155.701365,ADAPTIVEQF,TAKEOFF,0,0.000000,27.557681,-0.021979,0.449188,1.267888,-0.015760,0.435870,1.556670,0.289156,0,0
1784416155.726325,ADAPTIVEQF,TAKEOFF,0,0.000000,20.274698,-0.021568,0.451426,1.263003,-0.015760,0.435870,1.587669,0.325090,0,0
1784416155.751345,ADAPTIVEQF,TAKEOFF,0,0.000000,9.294815,-0.021346,0.453533,1.258486,-0.015760,0.435870,1.618744,0.360734,0,0
1784416155.776337,ADAPTIVEQF,TAKEOFF,0,0.000000,2.517212,-0.020897,0.454886,1.255182,-0.015760,0.435870,1.649782,0.395091,0,0
1784416155.801339,ADAPTIVEQF,TAKEOFF,0,0.000000,27.519388,-0.020897,0.454886,1.255182,-0.015760,0.435870,1.680834,0.426108,0,0
1784416155.826322,ADAPTIVEQF,TAKEOFF,0,0.000000,20.223426,-0.019451,0.454340,1.254672,-0.015760,0.435870,1.711864,0.457580,0,0
1784416155.851345,ADAPTIVEQF,TAKEOFF,0,0.000000,9.321695,-0.017873,0.453793,1.254149,-0.015760,0.435870,1.742941,0.489125,0,0
1784416155.876341,ADAPTIVEQF,TAKEOFF,0,0.000000,2.371085,-0.016762,0.453448,1.253830,-0.015760,0.435870,1.773987,0.520455,0,0
1784416155.901350,ADAPTIVEQF,TAKEOFF,0,0.000000,27.378959,-0.016762,0.453448,1.253830,-0.015760,0.435870,1.805047,0.551498,0,0
1784416155.926318,ADAPTIVEQF,TAKEOFF,0,0.000000,20.131656,-0.014582,0.454005,1.253192,-0.015760,0.435870,1.836058,0.583149,0,0
