epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784410993.156040,CONST200,TAKEOFF,0,0.000000,20.310471,0.189749,0.141532,1.845041,0.189749,0.141532,1.866393,0.021351,0
1784410993.181069,CONST200,TAKEOFF,0,0.000000,13.134441,0.189583,0.140244,1.847824,0.189749,0.141532,1.892714,0.044909,0
1784410993.206043,CONST200,TAKEOFF,0,0.000000,5.855559,0.189523,0.138652,1.850012,0.189749,0.141532,1.918978,0.069026,0
1784410993.231055,CONST200,TAKEOFF,0,0.000000,30.870312,0.189523,0.138652,1.850012,0.189749,0.141532,1.945282,0.095314,0
1784410993.256047,CONST200,TAKEOFF,0,0.000000,20.143151,0.189600,0.135566,1.850814,0.189749,0.141532,1.971564,0.120898,0
1784410993.281068,CONST200,TAKEOFF,0,0.000000,13.123171,0.189625,0.133248,1.851433,0.189749,0.141532,1.997878,0.146679,0
1784410993.306050,CONST200,TAKEOFF,0,0.000000,5.745869,0.189623,0.131060,1.852032,0.189749,0.141532,2.024150,0.172437,0
1784410993.331050,CONST200,TAKEOFF,0,0.000000,30.744532,0.189623,0.131060,1.852032,0.189749,0.141532,2.050441,0.198686,0
1784410993.356033,CONST200,TAKEOFF,0,0.000000,20.266490,0.189769,0.130210,1.853207,0.189749,0.141532,2.076714,0.223794,0
1784410993.381017,CONST200,TAKEOFF,0,0.000000,13.300550,0.190044,0.130561,1.854866,0.189749,0.141532,2.102989,0.248365,0
1784410993.406055,CONST200,TAKEOFF,0,0.000000,5.729540,0.190240,0.130852,1.856413,0.189749,0.141532,2.129321,0.273117,0
1784410993.431071,CONST200,TAKEOFF,0,0.000000,30.747632,0.190240,0.130852,1.856413,0.189749,0.141532,2.155630,0.299407,0
1784410993.456032,CONST200,TAKEOFF,0,0.000000,20.219518,0.190421,0.131154,1.858206,0.189749,0.141532,2.181879,0.323840,0
1784410993.481054,CONST200,TAKEOFF,0,0.000000,13.107308,0.189139,0.133020,1.858762,0.189749,0.141532,2.208194,0.349536,0
1784410993.506047,CONST200,TAKEOFF,0,0.000000,5.933655,0.187492,0.135347,1.859107,0.189749,0.141532,2.234477,0.375428,0
1784410993.531065,CONST200,TAKEOFF,0,0.000000,30.954100,0.187492,0.135347,1.859107,0.189749,0.141532,2.260788,0.401735,0
1784410993.556039,CONST200,TAKEOFF,0,0.000000,20.313106,0.185978,0.137585,1.859514,0.189749,0.141532,2.287052,0.427573,0
1784410993.581060,CONST200,TAKEOFF,0,0.000000,13.138769,0.184560,0.139741,1.859972,0.189749,0.141532,2.313365,0.453427,0
1784410993.606058,CONST200,TAKEOFF,0,0.000000,5.841858,0.183803,0.143065,1.858840,0.189749,0.141532,2.339655,0.480854,0
1784410993.631053,CONST200,TAKEOFF,0,0.000000,30.837644,0.183803,0.143065,1.858840,0.189749,0.141532,2.365941,0.507139,0
1784410993.656040,CONST200,TAKEOFF,0,0.000000,20.056465,0.182953,0.146972,1.857745,0.189749,0.141532,2.392219,0.534544,0
1784410993.681047,CONST200,TAKEOFF,0,0.000000,13.107746,0.182324,0.149867,1.857098,0.189749,0.141532,2.418517,0.561530,0
1784410993.706049,CONST200,TAKEOFF,0,0.000000,5.945514,0.181623,0.152601,1.857927,0.189749,0.141532,2.444811,0.587045,0
1784410993.731051,CONST200,TAKEOFF,0,0.000000,30.950152,0.181623,0.152601,1.857927,0.189749,0.141532,2.471105,0.613332,0
1784410993.756042,CONST200,TAKEOFF,0,0.000000,20.206395,0.180621,0.155230,1.862523,0.189749,0.141532,2.497386,0.635076,0
1784410993.781041,CONST200,TAKEOFF,0,0.000000,13.090470,0.179712,0.157721,1.866813,0.189749,0.141532,2.523676,0.657139,0
1784410993.806054,CONST200,TAKEOFF,0,0.000000,5.836757,0.178874,0.160075,1.870863,0.189749,0.141532,2.549981,0.679459,0
1784410993.831066,CONST200,TAKEOFF,0,0.000000,30.848894,0.178874,0.160075,1.870863,0.189749,0.141532,2.576285,0.705750,0
1784410993.856043,CONST200,TAKEOFF,0,0.000000,20.072278,0.176713,0.163723,1.877548,0.189749,0.141532,2.602552,0.725461,0
1784410993.881068,CONST200,TAKEOFF,0,0.000000,13.291941,0.173744,0.167466,1.884700,0.189749,0.141532,2.628870,0.744793,0
1784410993.906052,CONST200,TAKEOFF,0,0.000000,5.868154,0.170994,0.170972,1.891348,0.189749,0.141532,2.655144,0.764593,0
1784410993.931055,CONST200,TAKEOFF,0,0.000000,30.869102,0.170994,0.170972,1.891348,0.189749,0.141532,2.681438,0.790860,0
1784410993.956095,CONST200,TAKEOFF,0,0.000000,20.062752,0.168417,0.174264,1.897543,0.189749,0.141532,2.707773,0.811172,0
1784410993.981062,CONST200,TAKEOFF,0,0.000000,12.807149,0.167298,0.177719,1.899805,0.189749,0.141532,2.734029,0.835310,0
1784410994.006064,CONST200,TAKEOFF,0,0.000000,5.660614,0.166661,0.181098,1.900874,0.189749,0.141532,2.760323,0.860669,0
1784410994.031073,CONST200,TAKEOFF,0,0.000000,30.669083,0.166661,0.181098,1.900874,0.189749,0.141532,2.786623,0.886933,0
1784410994.056082,CONST200,TAKEOFF,0,0.000000,20.036467,0.165895,0.185058,1.902197,0.189749,0.141532,2.812925,0.912080,0
1784410994.081068,CONST200,TAKEOFF,0,0.000000,12.994620,0.165336,0.188064,1.903221,0.189749,0.141532,2.839201,0.937453,0
1784410994.106061,CONST200,TAKEOFF,0,0.000000,5.814398,0.167012,0.192130,1.907642,0.189749,0.141532,2.865485,0.959448,0
1784410994.131077,CONST200,TAKEOFF,0,0.000000,30.833923,0.167012,0.192130,1.907642,0.189749,0.141532,2.891793,0.985713,0
1784410994.156046,CONST200,TAKEOFF,0,0.000000,20.175437,0.168558,0.195947,1.911788,0.189749,0.141532,2.918051,1.007955,0
1784410994.181046,CONST200,TAKEOFF,0,0.000000,13.096629,0.170015,0.199526,1.915658,0.189749,0.141532,2.944343,1.030508,0
1784410994.206067,CONST200,TAKEOFF,0,0.000000,5.833715,0.171581,0.202309,1.919611,0.189749,0.141532,2.970656,1.052958,0
1784410994.231051,CONST200,TAKEOFF,0,0.000000,30.818914,0.171581,0.202309,1.919611,0.189749,0.141532,2.996931,1.079186,0
1784410994.256048,CONST200,TAKEOFF,0,0.000000,20.184102,0.174122,0.203466,1.925228,0.189749,0.141532,3.023219,1.099847,0
