epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784329828.806200,FIXED400,TAKEOFF,0,0.000000,12.522640,-0.059746,0.133222,1.319922,-0.059746,0.133222,1.335279,0.015357,0
1784329828.831187,FIXED400,TAKEOFF,0,0.000000,6.141611,-0.058251,0.132495,1.319118,-0.059746,0.133222,1.365931,0.046842,0
1784329828.856194,FIXED400,TAKEOFF,0,0.000000,31.148404,-0.058251,0.132495,1.319118,-0.059746,0.133222,1.396607,0.077506,0
1784329828.881162,FIXED400,TAKEOFF,0,0.000000,24.092277,-0.056818,0.131861,1.318577,-0.059746,0.133222,1.427234,0.108706,0
1784329828.906150,FIXED400,TAKEOFF,0,0.000000,13.368559,-0.054651,0.132791,1.319325,-0.059746,0.133222,1.457887,0.138656,0
1784329828.931179,FIXED400,TAKEOFF,0,0.000000,6.241573,-0.052623,0.133700,1.320203,-0.059746,0.133222,1.488591,0.168539,0
1784329828.956187,FIXED400,TAKEOFF,0,0.000000,31.245918,-0.052623,0.133700,1.320203,-0.059746,0.133222,1.519268,0.199192,0
1784329828.981151,FIXED400,TAKEOFF,0,0.000000,24.084166,-0.050697,0.134591,1.321225,-0.059746,0.133222,1.549891,0.228849,0
1784329829.006183,FIXED400,TAKEOFF,0,0.000000,13.271912,-0.048476,0.134703,1.321605,-0.059746,0.133222,1.580596,0.259241,0
1784329829.031172,FIXED400,TAKEOFF,0,0.000000,6.303180,-0.046846,0.133710,1.320929,-0.059746,0.133222,1.611252,0.290610,0
1784329829.056188,FIXED400,TAKEOFF,0,0.000000,31.317885,-0.046846,0.133710,1.320929,-0.059746,0.133222,1.641937,0.321268,0
1784329829.081165,FIXED400,TAKEOFF,0,0.000000,24.052231,-0.045256,0.132855,1.320565,-0.059746,0.133222,1.672578,0.352311,0
1784329829.106177,FIXED400,TAKEOFF,0,0.000000,13.318156,-0.043698,0.132112,1.320459,-0.059746,0.133222,1.703258,0.383137,0
1784329829.131145,FIXED400,TAKEOFF,0,0.000000,6.329984,-0.042594,0.131249,1.320637,-0.059746,0.133222,1.733886,0.413609,0
1784329829.156180,FIXED400,TAKEOFF,0,0.000000,31.365299,-0.042594,0.131249,1.320637,-0.059746,0.133222,1.764596,0.444295,0
1784329829.181158,FIXED400,TAKEOFF,0,0.000000,24.039439,-0.041895,0.130262,1.321076,-0.059746,0.133222,1.795237,0.474506,0
1784329829.206185,FIXED400,TAKEOFF,0,0.000000,13.285204,-0.040998,0.129137,1.321840,-0.059746,0.133222,1.825938,0.504463,0
1784329829.231181,FIXED400,TAKEOFF,0,0.000000,6.227511,-0.040273,0.128316,1.322601,-0.059746,0.133222,1.856601,0.534377,0
1784329829.256194,FIXED400,TAKEOFF,0,0.000000,31.241470,-0.040273,0.128316,1.322601,-0.059746,0.133222,1.887284,0.565040,0
1784329829.281153,FIXED400,TAKEOFF,0,0.000000,24.218835,-0.040444,0.129313,1.319660,-0.059746,0.133222,1.917901,0.598565,0
1784329829.306179,FIXED400,TAKEOFF,0,0.000000,13.377318,-0.040818,0.130772,1.315918,-0.059746,0.133222,1.948600,0.632970,0
1784329829.331178,FIXED400,TAKEOFF,0,0.000000,6.358025,-0.041102,0.132102,1.312648,-0.059746,0.133222,1.979266,0.666880,0
1784329829.356182,FIXED400,TAKEOFF,0,0.000000,31.361802,-0.041102,0.132102,1.312648,-0.059746,0.133222,2.009937,0.697539,0
1784329829.381160,FIXED400,TAKEOFF,0,0.000000,24.236106,-0.041325,0.133310,1.309813,-0.059746,0.133222,2.040579,0.730998,0
1784329829.406153,FIXED400,TAKEOFF,0,0.000000,13.234367,-0.042810,0.136385,1.309758,-0.059746,0.133222,2.071238,0.761674,0
1784329829.431182,FIXED400,TAKEOFF,0,0.000000,6.130777,-0.043795,0.138640,1.309917,-0.059746,0.133222,2.101939,0.792201,0
1784329829.456195,FIXED400,TAKEOFF,0,0.000000,31.144940,-0.043795,0.138640,1.309917,-0.059746,0.133222,2.132624,0.822879,0
1784329829.481153,FIXED400,TAKEOFF,0,0.000000,24.151576,-0.044621,0.140735,1.310260,-0.059746,0.133222,2.163238,0.853145,0
1784329829.506187,FIXED400,TAKEOFF,0,0.000000,13.339610,-0.045706,0.143617,1.309899,-0.059746,0.133222,2.193948,0.884221,0
1784329829.531179,FIXED400,TAKEOFF,0,0.000000,6.301599,-0.047982,0.148963,1.307300,-0.059746,0.133222,2.224606,0.917516,0
1784329829.556190,FIXED400,TAKEOFF,0,0.000000,31.311958,-0.047982,0.148963,1.307300,-0.059746,0.133222,2.255286,0.948190,0
1784329829.581149,FIXED400,TAKEOFF,0,0.000000,24.239072,-0.049956,0.153857,1.305116,-0.059746,0.133222,2.285903,0.981054,0
1784329829.606179,FIXED400,TAKEOFF,0,0.000000,13.305271,-0.052055,0.159422,1.302886,-0.059746,0.133222,2.316608,1.014089,0
1784329829.631173,FIXED400,TAKEOFF,0,0.000000,6.332048,-0.052826,0.161466,1.298923,-0.059746,0.133222,2.347267,1.048747,0
1784329829.656194,FIXED400,TAKEOFF,0,0.000000,31.353510,-0.052826,0.161466,1.298923,-0.059746,0.133222,2.377960,1.079429,0
1784329829.681170,FIXED400,TAKEOFF,0,0.000000,24.140268,-0.053208,0.162718,1.294645,-0.059746,0.133222,2.408598,1.114363,0
1784329829.706191,FIXED400,TAKEOFF,0,0.000000,13.167091,-0.053451,0.163867,1.290874,-0.059746,0.133222,2.439292,1.148844,0
1784329829.731160,FIXED400,TAKEOFF,0,0.000000,6.369097,-0.053561,0.164904,1.287557,-0.059746,0.133222,2.469920,1.182804,0
1784329829.756180,FIXED400,TAKEOFF,0,0.000000,31.388826,-0.053561,0.164904,1.287557,-0.059746,0.133222,2.500613,1.213485,0
1784329829.781168,FIXED400,TAKEOFF,0,0.000000,24.078637,-0.055538,0.166148,1.283253,-0.059746,0.133222,2.531266,1.248454,0
1784329829.806173,FIXED400,TAKEOFF,0,0.000000,13.198642,-0.058416,0.167624,1.278029,-0.059746,0.133222,2.561940,1.284372,0
1784329829.831190,FIXED400,TAKEOFF,0,0.000000,6.178703,-0.060415,0.168674,1.274403,-0.059746,0.133222,2.592627,1.318701,0
1784329829.856199,FIXED400,TAKEOFF,0,0.000000,31.186579,-0.060415,0.168674,1.274403,-0.059746,0.133222,2.623305,1.349368,0
1784329829.881154,FIXED400,TAKEOFF,0,0.000000,24.048597,-0.062178,0.169629,1.271224,-0.059746,0.133222,2.653918,1.383175,0
1784329829.906184,FIXED400,TAKEOFF,0,0.000000,13.345583,-0.064054,0.168125,1.270476,-0.059746,0.133222,2.684622,1.414583,0
1784329829.931180,FIXED400,TAKEOFF,0,0.000000,6.345591,-0.065704,0.166731,1.269908,-0.059746,0.133222,2.715283,1.445776,0
1784329829.956188,FIXED400,TAKEOFF,0,0.000000,31.355952,-0.065704,0.166731,1.269908,-0.059746,0.133222,2.745961,1.476446,0
1784329829.981173,FIXED400,TAKEOFF,0,0.000000,24.128272,-0.067140,0.165449,1.269517,-0.059746,0.133222,2.776610,1.507455,0
1784329830.006184,FIXED400,TAKEOFF,0,0.000000,13.385320,-0.068914,0.163342,1.270704,-0.059746,0.133222,2.807290,1.536909,0
1784329830.031187,FIXED400,TAKEOFF,0,0.000000,6.225018,-0.070399,0.161112,1.273361,-0.059746,0.133222,2.837962,1.564886,0
1784329830.056188,FIXED400,TAKEOFF,0,0.000000,31.224746,-0.070399,0.161112,1.273361,-0.059746,0.133222,2.868630,1.595549,0
1784329830.081156,FIXED400,TAKEOFF,0,0.000000,24.168121,-0.071698,0.159116,1.275933,-0.059746,0.133222,2.899259,1.623577,0
1784329830.106186,FIXED400,TAKEOFF,0,0.000000,13.343759,-0.072789,0.157320,1.278417,-0.059746,0.133222,2.929963,1.651773,0
1784329830.131175,FIXED400,TAKEOFF,0,0.000000,6.260437,-0.072941,0.154992,1.280682,-0.059746,0.133222,2.960616,1.680127,0
1784329830.156182,FIXED400,TAKEOFF,0,0.000000,31.266988,-0.072941,0.154992,1.280682,-0.059746,0.133222,2.991292,1.710800,0
1784329830.181153,FIXED400,TAKEOFF,0,0.000000,24.134299,-0.072307,0.152208,1.282803,-0.059746,0.133222,3.021924,1.739270,0
1784329830.206185,FIXED400,TAKEOFF,0,0.000000,13.358603,-0.071487,0.149237,1.285459,-0.059746,0.133222,3.052630,1.767283,0
1784329830.231187,FIXED400,TAKEOFF,0,0.000000,6.298523,-0.070786,0.147134,1.287578,-0.059746,0.133222,3.083301,1.795810,0
1784329830.256190,FIXED400,TAKEOFF,0,0.000000,31.299528,-0.070786,0.147134,1.287578,-0.059746,0.133222,3.113971,1.826479,0
1784329830.281153,FIXED400,TAKEOFF,0,0.000000,24.131313,-0.069944,0.144160,1.286404,-0.059746,0.133222,3.144593,1.858249,0
1784329830.306188,FIXED400,TAKEOFF,0,0.000000,13.348178,-0.069061,0.141124,1.284464,-0.059746,0.133222,3.175303,1.890879,0
1784329830.331175,FIXED400,TAKEOFF,0,0.000000,6.370656,-0.068127,0.138324,1.282860,-0.059746,0.133222,3.205954,1.923119,0
1784329830.356175,FIXED400,TAKEOFF,0,0.000000,31.371530,-0.068127,0.138324,1.282860,-0.059746,0.133222,3.236622,1.953787,0
1784329830.381185,FIXED400,TAKEOFF,0,0.000000,23.947937,-0.067155,0.135750,1.281559,-0.059746,0.133222,3.267301,1.985758,0
1784329830.406188,FIXED400,TAKEOFF,0,0.000000,13.352113,-0.068467,0.129012,1.277163,-0.059746,0.133222,3.297973,2.020833,0
1784329830.431197,FIXED400,TAKEOFF,0,0.000000,6.266680,-0.069355,0.124126,1.274161,-0.059746,0.133222,3.328651,2.054532,0
1784329830.456189,FIXED400,TAKEOFF,0,0.000000,31.258321,-0.069355,0.124126,1.274161,-0.059746,0.133222,3.359308,2.085188,0
1784329830.481155,FIXED400,TAKEOFF,0,0.000000,24.102119,-0.070061,0.119639,1.271567,-0.059746,0.133222,3.389934,2.118436,0
1784329830.506185,FIXED400,TAKEOFF,0,0.000000,13.306167,-0.070674,0.115961,1.269203,-0.059746,0.133222,3.420643,2.151537,0
1784329830.531182,FIXED400,TAKEOFF,0,0.000000,6.321410,-0.071332,0.113873,1.266800,-0.059746,0.133222,3.451301,2.184618,0
1784329830.556188,FIXED400,TAKEOFF,0,0.000000,31.328585,-0.071332,0.113873,1.266800,-0.059746,0.133222,3.481976,2.215291,0
1784329830.581155,FIXED400,TAKEOFF,0,0.000000,24.145716,-0.071939,0.111938,1.264724,-0.059746,0.133222,3.512603,2.248012,0
1784329830.606186,FIXED400,TAKEOFF,0,0.000000,13.317669,-0.072595,0.109808,1.262540,-0.059746,0.133222,3.543308,2.280924,0
1784329830.631176,FIXED400,TAKEOFF,0,0.000000,6.211193,-0.071597,0.108214,1.261033,-0.059746,0.133222,3.573966,2.313098,0
1784329830.656193,FIXED400,TAKEOFF,0,0.000000,31.223002,-0.071597,0.108214,1.261033,-0.059746,0.133222,3.604652,2.343782,0
1784329830.681160,FIXED400,TAKEOFF,0,0.000000,24.025134,-0.070171,0.106731,1.259722,-0.059746,0.133222,3.635280,2.375729,0
1784329830.706195,FIXED400,TAKEOFF,0,0.000000,13.204289,-0.068769,0.105383,1.258595,-0.059746,0.133222,3.665989,2.407572,0
1784329830.731189,FIXED400,TAKEOFF,0,0.000000,6.337591,-0.067400,0.104200,1.257633,-0.059746,0.133222,3.696649,2.439200,0
1784329830.756198,FIXED400,TAKEOFF,0,0.000000,31.346364,-0.067400,0.104200,1.257633,-0.059746,0.133222,3.727327,2.469876,0
1784329830.781160,FIXED400,TAKEOFF,0,0.000000,24.021952,-0.067648,0.104180,1.258334,-0.059746,0.133222,3.757948,2.499794,0
1784329830.806181,FIXED400,TAKEOFF,0,0.000000,13.398197,-0.068523,0.104645,1.259783,-0.059746,0.133222,3.788642,2.529035,0
1784329830.831185,FIXED400,TAKEOFF,0,0.000000,6.140294,-0.069110,0.105051,1.260883,-0.059746,0.133222,3.819314,2.558602,0
1784329830.856207,FIXED400,TAKEOFF,0,0.000000,31.162987,-0.069110,0.105051,1.260883,-0.059746,0.133222,3.850008,2.589294,0
1784329830.881179,FIXED400,TAKEOFF,0,0.000000,24.041298,-0.069621,0.105511,1.261948,-0.059746,0.133222,3.880642,2.618859,0
1784329830.906159,FIXED400,TAKEOFF,0,0.000000,13.293858,-0.071514,0.106370,1.263659,-0.059746,0.133222,3.911283,2.647786,0
1784329830.931183,FIXED400,TAKEOFF,0,0.000000,6.280268,-0.073288,0.107228,1.265239,-0.059746,0.133222,3.941980,2.676901,0
1784329830.956194,FIXED400,TAKEOFF,0,0.000000,31.292765,-0.073288,0.107228,1.265239,-0.059746,0.133222,3.972661,2.707580,0
1784329830.981157,FIXED400,TAKEOFF,0,0.000000,24.084726,-0.074940,0.108079,1.266711,-0.059746,0.133222,4.003282,2.736729,0
1784329831.006191,FIXED400,TAKEOFF,0,0.000000,13.397038,-0.077888,0.108343,1.265076,-0.059746,0.133222,4.033992,2.769087,0
1784329831.031194,FIXED400,TAKEOFF,0,0.000000,6.141370,-0.081196,0.107661,1.260123,-0.059746,0.133222,4.064664,2.804739,0
1784329831.056206,FIXED400,TAKEOFF,0,0.000000,31.150805,-0.081196,0.107661,1.260123,-0.059746,0.133222,4.095344,2.835418,0
1784329831.081176,FIXED400,TAKEOFF,0,0.000000,24.173812,-0.084319,0.107055,1.255626,-0.059746,0.133222,4.125976,2.870574,0
1784329831.106201,FIXED400,TAKEOFF,0,0.000000,13.293709,-0.087241,0.106567,1.251540,-0.059746,0.133222,4.156673,2.905385,0
1784329831.131198,FIXED400,TAKEOFF,0,0.000000,6.276966,-0.090641,0.106873,1.248600,-0.059746,0.133222,4.187337,2.939018,0
1784329831.156193,FIXED400,TAKEOFF,0,0.000000,31.270900,-0.090641,0.106873,1.248600,-0.059746,0.133222,4.217997,2.969676,0
1784329831.181171,FIXED400,TAKEOFF,0,0.000000,24.112034,-0.094445,0.107894,1.246672,-0.059746,0.133222,4.248639,3.002275,0
1784329831.206191,FIXED400,TAKEOFF,0,0.000000,13.269711,-0.098854,0.109116,1.244523,-0.059746,0.133222,4.279331,3.035155,0
