epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss,fallback_active
1784412586.128747,ADAPTIVE,TAKEOFF,0,0.000000,3.815856,-0.050827,0.005768,0.929550,-0.050552,0.006772,0.975527,0.045989,0,0
1784412586.178741,ADAPTIVE,TAKEOFF,0,0.000000,18.025701,-0.050534,0.004581,0.935206,-0.050552,0.006772,1.043417,0.108234,0,0
1784412586.228729,ADAPTIVE,TAKEOFF,0,0.000000,3.139826,-0.050127,0.002605,0.943919,-0.050552,0.006772,1.111301,0.167435,0,0
1784412586.278728,ADAPTIVE,TAKEOFF,0,0.000000,18.168131,-0.050445,0.004427,0.945957,-0.050552,0.006772,1.179198,0.233252,0,0
1784412586.328733,ADAPTIVE,TAKEOFF,0,0.000000,3.857386,-0.050947,0.007377,0.950452,-0.050552,0.006772,1.247105,0.296654,0,0
1784412586.378736,ADAPTIVE,TAKEOFF,0,0.000000,18.172679,-0.051178,0.007076,0.952769,-0.050552,0.006772,1.315010,0.362241,0,0
1784412586.428678,ADAPTIVE,TAKEOFF,0,0.000000,3.948803,-0.051458,0.002528,0.955387,-0.050552,0.006772,1.382829,0.427464,0,0
1784412586.478745,ADAPTIVE,TAKEOFF,0,0.000000,18.094206,-0.051583,0.000336,0.956809,-0.050552,0.006772,1.450822,0.494056,0,0
1784412586.528725,ADAPTIVE,TAKEOFF,0,0.000000,3.760120,-0.053820,-0.001272,0.957508,-0.050552,0.006772,1.518693,0.561253,0,0
1784412586.578748,ADAPTIVE,TAKEOFF,0,0.000000,18.107526,-0.055630,-0.001816,0.957805,-0.050552,0.006772,1.586625,0.628899,0,0
1784412586.628732,ADAPTIVE,TAKEOFF,0,0.000000,3.615932,-0.057801,-0.003542,0.958291,-0.050552,0.006772,1.654503,0.696325,0,0
1784412586.678741,ADAPTIVE,TAKEOFF,0,0.000000,18.010886,-0.058529,-0.004773,0.958526,-0.050552,0.006772,1.722414,0.764016,0,0
1784412586.728715,ADAPTIVE,TAKEOFF,0,0.000000,3.781906,-0.060070,-0.007044,0.959781,-0.050552,0.006772,1.790279,0.830667,0,0
1784412586.778742,ADAPTIVE,TAKEOFF,0,0.000000,18.096181,-0.061501,-0.011373,0.957182,-0.050552,0.006772,1.858216,0.901283,0,0
1784412586.828702,ADAPTIVE,TAKEOFF,0,0.000000,3.791742,-0.063842,-0.017435,0.954304,-0.050552,0.006772,1.926060,0.972149,0,0
1784412586.878746,ADAPTIVE,TAKEOFF,0,0.000000,17.850126,-0.064769,-0.020846,0.953094,-0.050552,0.006772,1.994020,1.041389,0,0
1784412586.928736,ADAPTIVE,TAKEOFF,0,0.000000,3.631995,-0.065228,-0.030804,0.950458,-0.050552,0.006772,2.061906,1.112180,0,0
1784412586.978736,ADAPTIVE,TAKEOFF,0,0.000000,18.045723,-0.065677,-0.036301,0.949373,-0.050552,0.006772,2.129805,1.181315,0,0
1784412587.028709,ADAPTIVE,TAKEOFF,0,0.000000,3.385590,-0.064439,-0.041603,0.947187,-0.050552,0.006772,2.197669,1.251495,0,0
1784412587.078747,ADAPTIVE,TAKEOFF,0,0.000000,17.963968,-0.063846,-0.043849,0.946372,-0.050552,0.006772,2.265621,1.320287,0,0
1784412587.128716,ADAPTIVE,TAKEOFF,0,0.000000,3.713974,-0.063440,-0.046170,0.948000,-0.050552,0.006772,2.333477,1.386548,0,0
1784412587.178735,ADAPTIVE,TAKEOFF,0,0.000000,18.128949,-0.063843,-0.045683,0.951571,-0.050552,0.006772,2.401405,1.450844,0,0
1784412587.228719,ADAPTIVE,TAKEOFF,0,0.000000,3.371523,-0.064829,-0.045076,0.957076,-0.050552,0.006772,2.469281,1.513161,0,0
1784412587.278761,ADAPTIVE,TAKEOFF,0,0.000000,18.114771,-0.064632,-0.042843,0.961545,-0.050552,0.006772,2.537239,1.576538,0,0
1784412587.328707,ADAPTIVE,TAKEOFF,0,0.000000,3.575258,-0.064663,-0.038889,0.970031,-0.050552,0.006772,2.605065,1.635733,0,0
1784412587.378751,ADAPTIVE,TAKEOFF,0,0.000000,17.989364,-0.063937,-0.036922,0.973955,-0.050552,0.006772,2.673024,1.699684,0,0
1784412587.428727,ADAPTIVE,TAKEOFF,0,0.000000,3.376502,-0.061203,-0.034445,0.977819,-0.050552,0.006772,2.740891,1.763586,0,0
1784412587.478745,ADAPTIVE,TAKEOFF,0,0.000000,18.047351,-0.060195,-0.033331,0.979790,-0.050552,0.006772,2.808815,1.829490,0,0
1784412587.528695,ADAPTIVE,TAKEOFF,0,0.000000,3.663802,-0.057762,-0.030350,0.984073,-0.050552,0.006772,2.876647,1.892952,0,0
1784412587.578758,ADAPTIVE,TAKEOFF,0,0.000000,18.024558,-0.056483,-0.028599,0.986819,-0.050552,0.006772,2.944634,1.958144,0,0
1784412587.628782,ADAPTIVE,TAKEOFF,0,0.000000,3.544038,-0.055081,-0.024195,0.989006,-0.050552,0.006772,3.012567,2.023803,0,0
1784412587.678793,ADAPTIVE,TAKEOFF,0,0.000000,18.177863,-0.054628,-0.021331,0.989120,-0.050552,0.006772,3.080482,2.091554,0,0
