epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss,fallback_active
1784416817.701095,ADAPTIVEQF,TAKEOFF,0,0.000000,33.981388,0.122559,-0.543998,1.109279,0.122559,-0.543998,1.153343,0.044064,0,0
1784416817.751103,ADAPTIVEQF,TAKEOFF,0,0.000000,16.156694,0.116464,-0.543518,1.111116,0.122559,-0.543998,1.218197,0.107255,0,0
1784416817.801107,ADAPTIVEQF,TAKEOFF,0,0.000000,33.717441,0.113698,-0.543385,1.112137,0.122559,-0.543998,1.283047,0.171141,0,0
1784416817.851124,ADAPTIVEQF,TAKEOFF,0,0.000000,16.120461,0.108111,-0.541295,1.116744,0.122559,-0.543998,1.347916,0.231639,0,0
1784416817.901124,ADAPTIVEQF,TAKEOFF,0,0.000000,33.726962,0.105832,-0.540662,1.118759,0.122559,-0.543998,1.412760,0.294496,0,0
1784416817.951126,ADAPTIVEQF,TAKEOFF,0,0.000000,16.125858,0.102633,-0.543891,1.118991,0.122559,-0.543998,1.477610,0.359172,0,0
1784416818.001128,ADAPTIVEQF,TAKEOFF,0,0.000000,33.787773,0.101416,-0.546603,1.118344,0.122559,-0.543998,1.542458,0.424648,0,0
1784416818.051115,ADAPTIVEQF,TAKEOFF,0,0.000000,16.215768,0.099113,-0.551207,1.116589,0.122559,-0.543998,1.607286,0.491309,0,0
1784416818.101094,ADAPTIVEQF,TAKEOFF,0,0.000000,34.087363,0.098392,-0.552262,1.115082,0.122559,-0.543998,1.672103,0.557606,0,0
1784416818.151114,ADAPTIVEQF,TAKEOFF,0,0.000000,16.214247,0.096879,-0.554200,1.113034,0.122559,-0.543998,1.736974,0.624552,0,0
1784416818.201121,ADAPTIVEQF,TAKEOFF,0,0.000000,33.904358,0.095414,-0.555878,1.109108,0.122559,-0.543998,1.801829,0.693354,0,0
1784416818.251372,ADAPTIVEQF,TAKEOFF,0,0.000000,16.346273,0.091879,-0.559799,1.100056,0.122559,-0.543998,1.866999,0.767720,0,0
1784416818.301110,ADAPTIVEQF,TAKEOFF,0,0.000000,33.805218,0.090441,-0.561385,1.096933,0.122559,-0.543998,1.931505,0.835370,0,0
1784416818.351108,ADAPTIVEQF,TAKEOFF,0,0.000000,16.105583,0.085535,-0.562189,1.089508,0.122559,-0.543998,1.996348,0.907778,0,0
1784416818.401124,ADAPTIVEQF,TAKEOFF,0,0.000000,33.963265,0.083232,-0.562594,1.086540,0.122559,-0.543998,2.061214,0.975644,0,0
1784416818.451143,ADAPTIVEQF,TAKEOFF,0,0.000000,16.143528,0.078831,-0.568109,1.078838,0.122559,-0.543998,2.126084,1.048436,0,0
1784416818.501126,ADAPTIVEQF,TAKEOFF,0,0.000000,34.073338,0.077081,-0.571325,1.075628,0.122559,-0.543998,2.190907,1.116540,0,0
1784416818.551135,ADAPTIVEQF,TAKEOFF,0,0.000000,16.069060,0.074449,-0.577316,1.069279,0.122559,-0.543998,2.255766,1.187929,0,0
1784416818.601161,ADAPTIVEQF,TAKEOFF,0,0.000000,33.996751,0.074224,-0.580169,1.064983,0.122559,-0.543998,2.320644,1.257111,0,0
1784416818.651132,ADAPTIVEQF,TAKEOFF,0,0.000000,16.087688,0.073549,-0.586126,1.057363,0.122559,-0.543998,2.385453,1.329661,0,0
1784416818.701120,ADAPTIVEQF,TAKEOFF,0,0.000000,33.707167,0.071815,-0.588813,1.055351,0.122559,-0.543998,2.450281,1.396572,0,0
1784416818.751132,ADAPTIVEQF,TAKEOFF,0,0.000000,16.104292,0.067560,-0.593986,1.052762,0.122559,-0.543998,2.515143,1.464268,0,0
1784416818.801122,ADAPTIVEQF,TAKEOFF,0,0.000000,33.704856,0.065476,-0.596364,1.051927,0.122559,-0.543998,2.579973,1.530009,0,0
1784416818.851125,ADAPTIVEQF,TAKEOFF,0,0.000000,16.242873,0.058228,-0.597608,1.052032,0.122559,-0.543998,2.644824,1.594992,0,0
1784416818.901127,ADAPTIVEQF,TAKEOFF,0,0.000000,33.630422,0.055223,-0.598191,1.052468,0.122559,-0.543998,2.709672,1.659456,0,0
1784416818.951123,ADAPTIVEQF,TAKEOFF,0,0.000000,16.188362,0.048341,-0.598019,1.054796,0.122559,-0.543998,2.774512,1.722163,0,0
1784416819.001111,ADAPTIVEQF,TAKEOFF,0,0.000000,33.122258,0.044757,-0.597677,1.056393,0.122559,-0.543998,2.839341,1.785452,0,0
1784416819.051110,ADAPTIVEQF,TAKEOFF,0,0.000000,16.148369,0.037277,-0.596868,1.060383,0.122559,-0.543998,2.904185,1.846530,0,0
1784416819.101109,ADAPTIVEQF,TAKEOFF,0,0.000000,31.147188,0.034239,-0.596304,1.062266,0.122559,-0.543998,2.969028,1.909523,0,0
1784416819.151108,ADAPTIVEQF,TAKEOFF,0,0.000000,16.273401,0.028515,-0.595459,1.066060,0.122559,-0.543998,3.033873,1.970731,0,0
1784416819.201107,ADAPTIVEQF,TAKEOFF,0,0.000000,34.056450,0.025578,-0.594362,1.063553,0.122559,-0.543998,3.098716,2.038095,0,0
1784416819.251120,ADAPTIVEQF,TAKEOFF,0,0.000000,16.091995,0.019233,-0.591854,1.056384,0.122559,-0.543998,3.163580,2.110270,0,0
1784416819.301107,ADAPTIVEQF,TAKEOFF,0,0.000000,34.095642,0.016578,-0.591002,1.053911,0.122559,-0.543998,3.228408,2.177585,0,0
1784416819.351125,ADAPTIVEQF,TAKEOFF,0,0.000000,16.236650,0.013871,-0.589834,1.047756,0.122559,-0.543998,3.293276,2.248616,0,0
1784416819.401110,ADAPTIVEQF,TAKEOFF,0,0.000000,33.736932,0.012514,-0.589349,1.045222,0.122559,-0.543998,3.358103,2.315942,0,0
1784416819.451117,ADAPTIVEQF,TAKEOFF,0,0.000000,15.414804,0.011193,-0.587351,1.045619,0.122559,-0.543998,3.422957,2.380340,0,0
1784416819.501111,ADAPTIVEQF,TAKEOFF,0,0.000000,33.960515,0.010920,-0.586272,1.046974,0.122559,-0.543998,3.487795,2.443738,0,0
1784416819.551126,ADAPTIVEQF,TAKEOFF,0,0.000000,16.174835,0.009514,-0.583615,1.051201,0.122559,-0.543998,3.552660,2.504325,0,0
1784416819.601150,ADAPTIVEQF,TAKEOFF,0,0.000000,33.581798,0.007778,-0.581381,1.055428,0.122559,-0.543998,3.617537,2.564952,0,0
1784416819.651146,ADAPTIVEQF,TAKEOFF,0,0.000000,16.074632,0.003997,-0.576922,1.064230,0.122559,-0.543998,3.682378,2.621038,0,0
1784416819.701141,ADAPTIVEQF,TAKEOFF,0,0.000000,33.133334,0.002050,-0.574922,1.068935,0.122559,-0.543998,3.747215,2.681169,0,0
1784416819.751160,ADAPTIVEQF,TAKEOFF,0,0.000000,16.182295,-0.001885,-0.571166,1.078314,0.122559,-0.543998,3.812087,2.736739,0,0
1784416819.801135,ADAPTIVEQF,TAKEOFF,0,0.000000,33.718330,-0.003785,-0.569500,1.082666,0.122559,-0.543998,3.876899,2.797204,0,0
1784416819.851152,ADAPTIVEQF,TAKEOFF,0,0.000000,16.176364,-0.008814,-0.566456,1.095143,0.122559,-0.543998,3.941766,2.849742,0,0
1784416819.901135,ADAPTIVEQF,TAKEOFF,0,0.000000,33.980119,-0.010981,-0.565406,1.100179,0.122559,-0.543998,4.006590,2.909556,0,0
1784416819.951138,ADAPTIVEQF,TAKEOFF,0,0.000000,16.106573,-0.013320,-0.561163,1.101438,0.122559,-0.543998,4.071438,2.973156,0,0
1784416820.001132,ADAPTIVEQF,TAKEOFF,0,0.000000,34.009591,-0.013975,-0.558577,1.099915,0.122559,-0.543998,4.136276,3.039464,0,0
1784416820.051133,ADAPTIVEQF,TAKEOFF,0,0.000000,16.127677,-0.014434,-0.552983,1.093716,0.122559,-0.543998,4.201123,3.110439,0,0
1784416820.101130,ADAPTIVEQF,TAKEOFF,0,0.000000,33.761333,-0.013773,-0.550348,1.088366,0.122559,-0.543998,4.265965,3.180528,0,0
1784416820.151130,ADAPTIVEQF,TAKEOFF,0,0.000000,16.138449,-0.012892,-0.545902,1.079351,0.122559,-0.543998,4.330809,3.254279,0,0
1784416820.201122,ADAPTIVEQF,TAKEOFF,0,0.000000,33.701599,-0.012464,-0.545320,1.071932,0.122559,-0.543998,4.395645,3.326455,0,0
1784416820.251141,ADAPTIVEQF,TAKEOFF,0,0.000000,16.127185,-0.011988,-0.545457,1.055618,0.122559,-0.543998,4.460516,3.407555,0,0
1784416820.301133,ADAPTIVEQF,TAKEOFF,0,0.000000,33.695261,-0.012030,-0.545676,1.049605,0.122559,-0.543998,4.525349,3.478349,0,0
1784416820.351120,ADAPTIVEQF,TAKEOFF,0,0.000000,16.064511,-0.011925,-0.548319,1.042054,0.122559,-0.543998,4.590177,3.550673,0,0
1784416820.401126,ADAPTIVEQF,TAKEOFF,0,0.000000,33.988949,-0.012151,-0.549753,1.038926,0.122559,-0.543998,4.655031,3.618618,0,0
1784416820.451126,ADAPTIVEQF,TAKEOFF,0,0.000000,15.957566,-0.012951,-0.550059,1.035859,0.122559,-0.543998,4.719876,3.686513,0,0
1784416820.501118,ADAPTIVEQF,TAKEOFF,0,0.000000,33.881190,-0.013482,-0.549720,1.035419,0.122559,-0.543998,4.784710,3.751763,0,0
1784416820.551112,ADAPTIVEQF,TAKEOFF,0,0.000000,16.254013,-0.014788,-0.549545,1.035319,0.122559,-0.543998,4.849548,3.816705,0,0
1784416820.601120,ADAPTIVEQF,TAKEOFF,0,0.000000,34.156521,-0.015396,-0.549583,1.035904,0.122559,-0.543998,4.914405,3.880957,0,0
1784416820.651146,ADAPTIVEQF,TAKEOFF,0,0.000000,16.152887,-0.017022,-0.550015,1.037505,0.122559,-0.543998,4.979284,3.944254,0,0
1784416820.701126,ADAPTIVEQF,WAITING,0,0.000000,33.880411,-0.016844,-0.550048,1.036526,0.122559,-0.543998,5.000000,3.965929,0,0
1784416820.751145,ADAPTIVEQF,WAITING,0,0.000000,16.112370,-0.016298,-0.550136,1.033996,0.000000,0.000000,5.000000,4.004011,0,0
1784416820.801149,ADAPTIVEQF,TRACKING,200,20.306778,54.350480,-0.016215,-0.550288,1.033020,0.000000,0.000000,5.000000,4.004998,0,0
1784416820.851153,ADAPTIVEQF,TRACKING,295,25.445014,41.571026,-0.021716,-0.547017,1.028278,0.000000,0.000000,5.000000,4.009274,0,0
1784416820.901148,ADAPTIVEQF,TRACKING,319,24.643668,49.074536,-0.024107,-0.545808,1.026610,0.000000,0.000000,5.000000,4.010775,0,0
1784416820.951151,ADAPTIVEQF,TRACKING,339,26.160898,42.385770,-0.028785,-0.544010,1.023157,0.000000,0.000000,5.000000,4.013982,0,0
1784416821.001142,ADAPTIVEQF,TRACKING,373,28.266320,52.004588,-0.031059,-0.543293,1.021562,0.000000,0.000000,5.000000,4.015483,0,0
1784416821.051131,ADAPTIVEQF,TRACKING,390,26.286891,42.535502,-0.034128,-0.543371,1.017461,0.000000,0.000000,5.000000,4.019581,0,0
1784416821.101135,ADAPTIVEQF,TRACKING,400,28.704921,52.333537,-0.033868,-0.544586,1.014874,0.000000,0.000000,5.000000,4.022307,0,0
1784416821.151123,ADAPTIVEQF,TRACKING,400,27.263916,43.594361,-0.033733,-0.546744,1.010611,0.000000,0.000000,5.000000,4.026822,0,0
1784416821.201143,ADAPTIVEQF,TRACKING,400,27.917766,50.580279,-0.033566,-0.546897,1.007522,0.000000,0.000000,5.000000,4.029902,0,0
1784416821.251203,ADAPTIVEQF,TRACKING,400,28.760970,45.071705,-0.033419,-0.546572,1.000846,0.000000,0.000000,5.000000,4.036470,0,0
1784416821.301252,ADAPTIVEQF,TRACKING,400,27.785492,48.987763,-0.033584,-0.546387,0.998361,0.000000,0.000000,5.000000,4.038909,0,0
1784416821.351136,ADAPTIVEQF,TRACKING,400,27.890453,44.249001,-0.031743,-0.545062,0.989878,0.000000,0.000000,5.000000,4.047120,0,0
1784416821.401140,ADAPTIVEQF,TRACKING,400,27.819960,49.822739,-0.031087,-0.544428,0.986167,0.000000,0.000000,5.000000,4.050706,0,0
