epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss,fallback_active
1784469990.912918,ADAPTIVEQF,TAKEOFF,0,0.000000,11.049786,-0.066868,0.198559,1.321372,-0.066868,0.198559,1.334915,0.013543,0,0
1784469990.937888,ADAPTIVEQF,TAKEOFF,0,0.000000,3.769005,-0.065358,0.195875,1.323216,-0.066868,0.198559,1.365532,0.042428,0,0
1784469990.962918,ADAPTIVEQF,TAKEOFF,0,0.000000,28.799964,-0.065358,0.195875,1.323216,-0.066868,0.198559,1.396224,0.073073,0,0
1784469990.987923,ADAPTIVEQF,TAKEOFF,0,0.000000,17.900023,-0.063599,0.192890,1.325470,-0.066868,0.198559,1.426886,0.101627,0,0
1784469991.012908,ADAPTIVEQF,TAKEOFF,0,0.000000,10.767155,-0.062283,0.190772,1.327223,-0.066868,0.198559,1.457522,0.130613,0,0
1784469991.037871,ADAPTIVEQF,TAKEOFF,0,0.000000,3.757538,-0.060915,0.188136,1.326829,-0.066868,0.198559,1.488131,0.161748,0,0
1784469991.062924,ADAPTIVEQF,TAKEOFF,0,0.000000,28.814131,-0.060915,0.188136,1.326829,-0.066868,0.198559,1.518852,0.192398,0,0
1784469991.087942,ADAPTIVEQF,TAKEOFF,0,0.000000,17.963956,-0.059487,0.185035,1.324466,-0.066868,0.198559,1.549532,0.225592,0,0
1784469991.112913,ADAPTIVEQF,TAKEOFF,0,0.000000,10.805053,-0.058173,0.182162,1.322478,-0.066868,0.198559,1.580150,0.258340,0,0
1784469991.137888,ADAPTIVEQF,TAKEOFF,0,0.000000,3.651838,-0.056958,0.179509,1.320830,-0.066868,0.198559,1.610773,0.290737,0,0
1784469991.162923,ADAPTIVEQF,TAKEOFF,0,0.000000,28.689620,-0.056958,0.179509,1.320830,-0.066868,0.198559,1.641472,0.321360,0,0
