epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss,fallback_active
1784470254.203038,ADAPTIVEQF,TAKEOFF,0,0.000000,14.534554,-0.199525,-0.029692,1.414543,-0.199525,-0.029692,1.431908,0.017366,0,0
1784470254.227987,ADAPTIVEQF,TAKEOFF,0,0.000000,3.462642,-0.201873,-0.026940,1.415063,-0.199525,-0.029692,1.461727,0.046804,0,0
1784470254.253001,ADAPTIVEQF,TAKEOFF,0,0.000000,28.479275,-0.201873,-0.026940,1.415063,-0.199525,-0.029692,1.491623,0.076646,0,0
1784470254.278051,ADAPTIVEQF,TAKEOFF,0,0.000000,21.502299,-0.204121,-0.024344,1.415773,-0.199525,-0.029692,1.521561,0.106022,0,0
1784470254.303008,ADAPTIVEQF,TAKEOFF,0,0.000000,14.082830,-0.207708,-0.022616,1.412772,-0.199525,-0.029692,1.551388,0.139038,0,0
1784470254.328027,ADAPTIVEQF,TAKEOFF,0,0.000000,3.552535,-0.211984,-0.020573,1.409960,-0.199525,-0.029692,1.581289,0.172024,0,0
1784470254.353010,ADAPTIVEQF,TAKEOFF,0,0.000000,28.546036,-0.211984,-0.020573,1.409960,-0.199525,-0.029692,1.611149,0.201780,0,0
1784470254.378041,ADAPTIVEQF,TAKEOFF,0,0.000000,21.548570,-0.215224,-0.019012,1.408185,-0.199525,-0.029692,1.641064,0.233652,0,0
1784470254.403033,ADAPTIVEQF,TAKEOFF,0,0.000000,14.094092,-0.218276,-0.017110,1.406907,-0.199525,-0.029692,1.670933,0.264990,0,0
1784470254.428036,ADAPTIVEQF,TAKEOFF,0,0.000000,3.469235,-0.221027,-0.014116,1.406476,-0.199525,-0.029692,1.700815,0.295534,0,0
1784470254.453006,ADAPTIVEQF,TAKEOFF,0,0.000000,28.439981,-0.221027,-0.014116,1.406476,-0.199525,-0.029692,1.730658,0.325267,0,0
1784470254.478038,ADAPTIVEQF,TAKEOFF,0,0.000000,21.427172,-0.223672,-0.011352,1.406296,-0.199525,-0.029692,1.760575,0.355574,0,0
1784470254.503038,ADAPTIVEQF,TAKEOFF,0,0.000000,14.309549,-0.226221,-0.008816,1.406327,-0.199525,-0.029692,1.790454,0.385618,0,0
1784470254.528042,ADAPTIVEQF,TAKEOFF,0,0.000000,3.243649,-0.227947,-0.004909,1.406894,-0.199525,-0.029692,1.820338,0.415160,0,0
1784470254.553014,ADAPTIVEQF,TAKEOFF,0,0.000000,28.224480,-0.227947,-0.004909,1.406894,-0.199525,-0.029692,1.850182,0.444890,0,0
1784470254.578005,ADAPTIVEQF,TAKEOFF,0,0.000000,21.459046,-0.228605,-0.001569,1.407552,-0.199525,-0.029692,1.880051,0.474228,0,0
1784470254.603009,ADAPTIVEQF,TAKEOFF,0,0.000000,14.172343,-0.229272,0.001473,1.408370,-0.199525,-0.029692,1.909935,0.503412,0,0
1784470254.628034,ADAPTIVEQF,TAKEOFF,0,0.000000,3.496908,-0.229946,0.004218,1.409520,-0.199525,-0.029692,1.939844,0.532277,0,0
1784470254.653062,ADAPTIVEQF,TAKEOFF,0,0.000000,28.530478,-0.229946,0.004218,1.409520,-0.199525,-0.029692,1.969757,0.562086,0,0
1784470254.678038,ADAPTIVEQF,TAKEOFF,0,0.000000,21.519872,-0.229898,0.007264,1.408274,-0.199525,-0.029692,1.999606,0.593264,0,0
1784470254.703060,ADAPTIVEQF,TAKEOFF,0,0.000000,14.177168,-0.229652,0.010257,1.406482,-0.199525,-0.029692,2.029511,0.625035,0,0
