epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784303618.738744,ADAPTIVE,TAKEOFF,0,0.000000,1.541537,-0.018522,0.003454,5.072505,-0.012969,0.003992,5.074783,0.006026,0
1784303618.788768,ADAPTIVE,TAKEOFF,0,0.000000,15.568628,-0.024949,0.000833,5.070237,-0.012969,0.003992,5.073522,0.012818,0
1784303618.838755,ADAPTIVE,TAKEOFF,0,0.000000,1.397237,-0.037496,-0.005174,5.065856,-0.012969,0.003992,5.072261,0.026956,0
1784303618.888761,ADAPTIVE,TAKEOFF,0,0.000000,15.523430,-0.044677,-0.008229,5.063228,-0.012969,0.003992,5.071001,0.034859,0
1784303618.938758,ADAPTIVE,TAKEOFF,0,0.000000,1.484957,-0.055589,-0.010992,5.063024,-0.012969,0.003992,5.069740,0.045674,0
1784303618.988747,ADAPTIVE,TAKEOFF,0,0.000000,15.552809,-0.060158,-0.012213,5.062201,-0.012969,0.003992,5.068480,0.050288,0
1784303619.038761,ADAPTIVE,TAKEOFF,0,0.000000,1.532950,-0.069493,-0.014388,5.063913,-0.012969,0.003992,5.067219,0.059530,0
1784303619.088776,ADAPTIVE,TAKEOFF,0,0.000000,15.588898,-0.074845,-0.015504,5.066100,-0.012969,0.003992,5.065958,0.064875,0
1784303619.138766,ADAPTIVE,TAKEOFF,0,0.000000,1.493670,-0.081659,-0.016814,5.068121,-0.012969,0.003992,5.064698,0.071853,0
1784303619.188766,ADAPTIVE,TAKEOFF,0,0.000000,15.557379,-0.084011,-0.017505,5.069406,-0.012969,0.003992,5.063438,0.074463,0
1784303619.238758,ADAPTIVE,TAKEOFF,0,0.000000,1.546516,-0.087747,-0.018664,5.070232,-0.012969,0.003992,5.062178,0.078549,0
1784303619.288769,ADAPTIVE,TAKEOFF,0,0.000000,15.584529,-0.090871,-0.020214,5.069905,-0.012969,0.003992,5.060917,0.082069,0
1784303619.338757,ADAPTIVE,TAKEOFF,0,0.000000,1.559618,-0.094821,-0.022398,5.068742,-0.012969,0.003992,5.059657,0.086480,0
1784303619.388773,ADAPTIVE,TAKEOFF,0,0.000000,15.578340,-0.095985,-0.023137,5.068053,-0.012969,0.003992,5.058396,0.087868,0
1784303619.438771,ADAPTIVE,TAKEOFF,0,0.000000,1.529029,-0.095082,-0.026116,5.069640,-0.012969,0.003992,5.057135,0.088348,0
1784303619.488986,ADAPTIVE,TAKEOFF,0,0.000000,15.624953,-0.093929,-0.027494,5.065789,-0.012969,0.003992,5.055869,0.087432,0
1784303619.538749,ADAPTIVE,TAKEOFF,0,0.000000,1.540766,-0.090956,-0.030422,5.059523,-0.012969,0.003992,5.054615,0.085384,0
1784303619.588816,ADAPTIVE,TAKEOFF,0,0.000000,15.622208,-0.089179,-0.031681,5.056820,-0.012969,0.003992,5.053353,0.084217,0
1784303619.638755,ADAPTIVE,TAKEOFF,0,0.000000,1.514627,-0.085410,-0.033335,5.052039,-0.012969,0.003992,5.052094,0.081493,0
1784303619.688771,ADAPTIVE,TAKEOFF,0,0.000000,15.522491,-0.083225,-0.033958,5.049695,-0.012969,0.003992,5.050833,0.079859,0
1784303619.738783,ADAPTIVE,TAKEOFF,0,0.000000,1.397830,-0.078741,-0.034073,5.047922,-0.012969,0.003992,5.049572,0.076011,0
1784303619.788822,ADAPTIVE,TAKEOFF,0,0.000000,15.485961,-0.077106,-0.032869,5.047095,-0.012969,0.003992,5.048311,0.073985,0
