epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784303831.738665,CONST330,TAKEOFF,0,0.000000,0.123318,-0.572019,0.313340,4.530406,-0.544295,0.306684,4.560850,0.041710,0
1784303831.788716,CONST330,TAKEOFF,0,0.000000,17.619114,-0.599993,0.320082,4.505185,-0.544295,0.306684,4.568266,0.085211,0
1784303831.838696,CONST330,TAKEOFF,0,0.000000,35.971507,-0.628178,0.326908,4.480925,-0.544295,0.306684,4.575671,0.128149,0
1784303831.888708,CONST330,TAKEOFF,0,0.000000,17.012606,-0.690215,0.342731,4.441540,-0.544295,0.306684,4.583081,0.206460,0
1784303831.938725,CONST330,TAKEOFF,0,0.000000,35.514823,-0.717648,0.349358,4.436137,-0.544295,0.306684,4.590492,0.236004,0
1784303831.988674,CONST330,TAKEOFF,0,0.000000,17.415722,-0.768335,0.361974,4.432781,-0.544295,0.306684,4.597892,0.283748,0
1784303832.038660,CONST330,TAKEOFF,0,0.000000,0.136892,-0.816169,0.374871,4.442818,-0.544295,0.306684,4.605299,0.323983,0
1784303832.088709,CONST330,TAKEOFF,0,0.000000,18.015262,-0.834558,0.380105,4.450412,-0.544295,0.306684,4.612714,0.340566,0
1784303832.138719,CONST330,TAKEOFF,0,0.000000,35.391121,-0.851821,0.385065,4.458003,-0.544295,0.306684,4.620124,0.356370,0
1784303832.188704,CONST330,TAKEOFF,0,0.000000,17.298496,-0.881378,0.390690,4.475402,-0.544295,0.306684,4.627530,0.379242,0
1784303832.238722,CONST330,TAKEOFF,0,0.000000,35.176004,-0.894301,0.392390,4.484276,-0.544295,0.306684,4.634941,0.390577,0
1784303832.288695,CONST330,TAKEOFF,0,0.000000,17.065468,-0.919543,0.395791,4.502465,-0.544295,0.306684,4.642345,0.410265,0
1784303832.338722,CONST330,TAKEOFF,0,0.000000,35.333327,-0.928828,0.396823,4.509793,-0.544295,0.306684,4.649757,0.419024,0
1784303832.388701,CONST330,TAKEOFF,0,0.000000,17.555415,-0.945764,0.399130,4.522872,-0.544295,0.306684,4.657163,0.433310,0
1784303832.438728,CONST330,TAKEOFF,0,0.000000,35.172306,-0.953458,0.399771,4.531046,-0.544295,0.306684,4.664575,0.440351,0
1784303832.488707,CONST330,TAKEOFF,0,0.000000,17.577171,-0.969057,0.401318,4.548641,-0.544295,0.306684,4.671980,0.452317,0
1784303832.538710,CONST330,TAKEOFF,0,0.000000,35.198643,-0.974658,0.401859,4.556427,-0.544295,0.306684,4.679388,0.457591,0
1784303832.588714,CONST330,TAKEOFF,0,0.000000,17.638523,-0.981282,0.401546,4.575578,-0.544295,0.306684,4.686798,0.460789,0
1784303832.638686,CONST330,TAKEOFF,0,0.000000,34.536869,-0.984257,0.401695,4.583852,-0.544295,0.306684,4.694202,0.463433,0
1784303832.688698,CONST330,TAKEOFF,0,0.000000,16.629729,-0.988139,0.400664,4.602517,-0.544295,0.306684,4.701611,0.464381,0
1784303832.738699,CONST330,TAKEOFF,0,0.000000,36.124036,-0.989177,0.400129,4.610113,-0.544295,0.306684,4.709020,0.465225,0
1784303832.788716,CONST330,TAKEOFF,0,0.000000,17.575570,-0.991030,0.400073,4.622349,-0.544295,0.306684,4.716431,0.465988,0
1784303832.838697,CONST330,TAKEOFF,0,0.000000,35.529831,-0.991998,0.400882,4.626431,-0.544295,0.306684,4.723836,0.467760,0
1784303832.888702,CONST330,TAKEOFF,0,0.000000,17.845087,-0.993805,0.403100,4.634104,-0.544295,0.306684,4.731245,0.469885,0
1784303832.938711,CONST330,TAKEOFF,0,0.000000,35.459743,-0.993792,0.403041,4.638895,-0.544295,0.306684,4.738655,0.470409,0
1784303832.988698,CONST330,TAKEOFF,0,0.000000,17.580215,-0.993737,0.403170,4.647130,-0.544295,0.306684,4.746061,0.470208,0
1784303833.038669,CONST330,TAKEOFF,0,0.000000,0.316469,-0.990346,0.404420,4.659556,-0.544295,0.306684,4.753465,0.466190,0
1784303833.088708,CONST330,TAKEOFF,0,0.000000,17.798152,-0.987865,0.405330,4.665940,-0.544295,0.306684,4.760879,0.464219,0
1784303833.138736,CONST330,TAKEOFF,0,0.000000,35.278980,-0.985548,0.406266,4.671748,-0.544295,0.306684,4.768291,0.462538,0
1784303833.188731,CONST330,TAKEOFF,0,0.000000,16.883138,-0.979566,0.408089,4.683700,-0.544295,0.306684,4.775699,0.456298,0
1784303833.238708,CONST330,TAKEOFF,0,0.000000,35.464384,-0.976370,0.409029,4.689408,-0.544295,0.306684,4.783104,0.453809,0
1784303833.288723,CONST330,TAKEOFF,0,0.000000,17.636912,-0.971123,0.412951,4.702842,-0.544295,0.306684,4.790514,0.448510,0
1784303833.338728,CONST330,TAKEOFF,0,0.000000,35.449100,-0.970017,0.416010,4.709966,-0.544295,0.306684,4.797923,0.448250,0
1784303833.388706,CONST330,TAKEOFF,0,0.000000,17.478573,-0.967888,0.421562,4.722309,-0.544295,0.306684,4.805328,0.446677,0
1784303833.438722,CONST330,TAKEOFF,0,0.000000,34.853587,-0.966124,0.424200,4.729738,-0.544295,0.306684,4.812739,0.445690,0
1784303833.488714,CONST330,TAKEOFF,0,0.000000,16.878121,-0.962257,0.429635,4.745380,-0.544295,0.306684,4.820146,0.442040,0
1784303833.538692,CONST330,TAKEOFF,0,0.000000,35.872367,-0.960545,0.431690,4.751230,-0.544295,0.306684,4.827551,0.441265,0
1784303833.588708,CONST330,TAKEOFF,0,0.000000,17.721741,-0.956314,0.435049,4.761111,-0.544295,0.306684,4.834961,0.437826,0
1784303833.638661,CONST330,TAKEOFF,0,0.000000,0.048341,-0.951873,0.438251,4.770462,-0.544295,0.306684,4.842363,0.434281,0
1784303833.688718,CONST330,TAKEOFF,0,0.000000,17.678384,-0.949829,0.439280,4.774680,-0.544295,0.306684,4.849779,0.433220,0
1784303833.738719,CONST330,TAKEOFF,0,0.000000,35.874903,-0.947993,0.440250,4.778490,-0.544295,0.306684,4.857188,0.432441,0
1784303833.788753,CONST330,TAKEOFF,0,0.000000,17.404496,-0.945252,0.440566,4.786424,-0.544295,0.306684,4.864601,0.429887,0
1784303833.838763,CONST330,TAKEOFF,0,0.000000,34.786690,-0.944912,0.438569,4.791800,-0.544295,0.306684,4.872011,0.429326,0
1784303833.888739,CONST330,TAKEOFF,0,0.000000,17.427259,-0.944140,0.435036,4.802184,-0.544295,0.306684,4.879416,0.426984,0
1784303833.938723,CONST330,TAKEOFF,0,0.000000,35.215609,-0.944049,0.435840,4.808763,-0.544295,0.306684,4.886821,0.427291,0
1784303833.988696,CONST330,TAKEOFF,0,0.000000,17.532850,-0.943693,0.437252,4.820158,-0.544295,0.306684,4.894226,0.426676,0
1784303834.038757,CONST330,TAKEOFF,0,0.000000,35.763477,-0.943410,0.437851,4.825083,-0.544295,0.306684,4.901643,0.427036,0
1784303834.088706,CONST330,TAKEOFF,0,0.000000,17.597909,-0.940232,0.438350,4.833259,-0.544295,0.306684,4.909044,0.424082,0
1784303834.138720,CONST330,TAKEOFF,0,0.000000,35.594136,-0.938898,0.438585,4.836350,-0.544295,0.306684,4.916454,0.423706,0
1784303834.188701,CONST330,TAKEOFF,0,0.000000,16.659714,-0.934617,0.439951,4.840995,-0.544295,0.306684,4.923859,0.420687,0
1784303834.238733,CONST330,TAKEOFF,0,0.000000,35.458610,-0.932160,0.440865,4.842810,-0.544295,0.306684,4.931272,0.419845,0
