epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784308165.389499,ADAPTIVE,TAKEOFF,0,0.000000,17.671726,0.238263,0.115643,1.290749,0.238263,0.115643,1.312593,0.021844,0
1784308165.439504,ADAPTIVE,TAKEOFF,0,0.000000,31.832569,0.236776,0.118341,1.291780,0.238263,0.115643,1.374419,0.082696,0
1784308165.489504,ADAPTIVE,TAKEOFF,0,0.000000,17.692128,0.232616,0.125032,1.294584,0.238263,0.115643,1.436240,0.142079,0
1784308165.539521,ADAPTIVE,TAKEOFF,0,0.000000,31.847780,0.229425,0.129709,1.296700,0.238263,0.115643,1.498082,0.202067,0
1784308165.589510,ADAPTIVE,TAKEOFF,0,0.000000,17.731609,0.224647,0.136407,1.300460,0.238263,0.115643,1.559888,0.260614,0
1784308165.639513,ADAPTIVE,TAKEOFF,0,0.000000,31.859665,0.222270,0.140324,1.303672,0.238263,0.115643,1.621714,0.319399,0
1784308165.689511,ADAPTIVE,TAKEOFF,0,0.000000,17.523063,0.217855,0.146991,1.309922,0.238263,0.115643,1.683532,0.375478,0
1784308165.739519,ADAPTIVE,TAKEOFF,0,0.000000,31.812003,0.215707,0.153249,1.309889,0.238263,0.115643,1.745362,0.437676,0
1784308165.789510,ADAPTIVE,TAKEOFF,0,0.000000,17.566882,0.212888,0.164533,1.306640,0.238263,0.115643,1.807172,0.503554,0
1784308165.839516,ADAPTIVE,TAKEOFF,0,0.000000,31.817934,0.211528,0.169475,1.305450,0.238263,0.115643,1.869002,0.566748,0
1784308165.889499,ADAPTIVE,TAKEOFF,0,0.000000,17.612028,0.211426,0.179053,1.306948,0.238263,0.115643,1.930801,0.627641,0
1784308165.939499,ADAPTIVE,TAKEOFF,0,0.000000,31.764284,0.211411,0.184297,1.308315,0.238263,0.115643,1.992622,0.688266,0
1784308165.989502,ADAPTIVE,TAKEOFF,0,0.000000,17.688168,0.212717,0.191654,1.306983,0.238263,0.115643,2.054446,0.751752,0
1784308166.039506,ADAPTIVE,TAKEOFF,0,0.000000,31.849600,0.213927,0.194923,1.304822,0.238263,0.115643,2.116272,0.815676,0
1784308166.089498,ADAPTIVE,TAKEOFF,0,0.000000,17.697684,0.216467,0.200486,1.300036,0.238263,0.115643,2.178082,0.882405,0
1784308166.139506,ADAPTIVE,TAKEOFF,0,0.000000,31.739391,0.220530,0.202271,1.292246,0.238263,0.115643,2.239914,0.951784,0
1784308166.189510,ADAPTIVE,TAKEOFF,0,0.000000,17.652886,0.226044,0.204908,1.281954,0.238263,0.115643,2.301739,1.023757,0
1784308166.239505,ADAPTIVE,TAKEOFF,0,0.000000,31.669568,0.227353,0.207154,1.277348,0.238263,0.115643,2.363553,1.090108,0
1784308166.289496,ADAPTIVE,TAKEOFF,0,0.000000,17.737218,0.227592,0.213078,1.269080,0.238263,0.115643,2.425363,1.160430,0
1784308166.339499,ADAPTIVE,TAKEOFF,0,0.000000,31.899947,0.227505,0.216414,1.264883,0.238263,0.115643,2.487187,1.226499,0
1784308166.389497,ADAPTIVE,TAKEOFF,0,0.000000,17.503491,0.230961,0.222874,1.260228,0.238263,0.115643,2.549006,1.293252,0
1784308166.439515,ADAPTIVE,TAKEOFF,0,0.000000,31.871586,0.232661,0.225951,1.258422,0.238263,0.115643,2.610851,1.356931,0
1784308166.489537,ADAPTIVE,TAKEOFF,0,0.000000,17.604591,0.233445,0.231713,1.255038,0.238263,0.115643,2.672700,1.422413,0
1784308166.539518,ADAPTIVE,TAKEOFF,0,0.000000,31.701947,0.232526,0.235087,1.253104,0.238263,0.115643,2.734496,1.486211,0
1784308166.589502,ADAPTIVE,TAKEOFF,0,0.000000,17.602438,0.230755,0.239776,1.250499,0.238263,0.115643,2.796296,1.550791,0
1784308166.639504,ADAPTIVE,TAKEOFF,0,0.000000,31.893272,0.229167,0.240909,1.248565,0.238263,0.115643,2.858120,1.614447,0
1784308166.689499,ADAPTIVE,TAKEOFF,0,0.000000,17.583436,0.226122,0.243351,1.245476,0.238263,0.115643,2.919934,1.679364,0
1784308166.739510,ADAPTIVE,TAKEOFF,0,0.000000,31.812817,0.224522,0.244625,1.246376,0.238263,0.115643,2.981769,1.740234,0
1784308166.789508,ADAPTIVE,TAKEOFF,0,0.000000,17.698906,0.222286,0.246536,1.250178,0.238263,0.115643,3.043587,1.798250,0
1784308166.839510,ADAPTIVE,TAKEOFF,0,0.000000,31.883126,0.221224,0.247621,1.251960,0.238263,0.115643,3.105411,1.858222,0
1784308166.889505,ADAPTIVE,TAKEOFF,0,0.000000,17.573043,0.221042,0.249494,1.258320,0.238263,0.115643,3.167225,1.913669,0
1784308166.939516,ADAPTIVE,TAKEOFF,0,0.000000,31.798979,0.221058,0.250643,1.262215,0.238263,0.115643,3.229060,1.971547,0
1784308166.989531,ADAPTIVE,TAKEOFF,0,0.000000,17.616428,0.221333,0.249651,1.271184,0.238263,0.115643,3.290898,2.024226,0
1784308167.039513,ADAPTIVE,TAKEOFF,0,0.000000,31.851253,0.221598,0.247932,1.276791,0.238263,0.115643,3.352697,2.080184,0
1784308167.089505,ADAPTIVE,TAKEOFF,0,0.000000,17.730359,0.221803,0.245359,1.285934,0.238263,0.115643,3.414508,2.132586,0
1784308167.139507,ADAPTIVE,TAKEOFF,0,0.000000,31.822767,0.220980,0.245630,1.287063,0.238263,0.115643,3.476332,2.193193,0
1784308167.189506,ADAPTIVE,TAKEOFF,0,0.000000,17.737226,0.219616,0.246099,1.288799,0.238263,0.115643,3.538151,2.253209,0
1784308167.239508,ADAPTIVE,TAKEOFF,0,0.000000,31.876670,0.219857,0.245762,1.287046,0.238263,0.115643,3.599975,2.316659,0
1784308167.289508,ADAPTIVE,TAKEOFF,0,0.000000,17.717117,0.221934,0.244052,1.279394,0.238263,0.115643,3.661795,2.385914,0
1784308167.339503,ADAPTIVE,TAKEOFF,0,0.000000,31.836845,0.222956,0.243059,1.275368,0.238263,0.115643,3.723610,2.451603,0
1784308167.389544,ADAPTIVE,TAKEOFF,0,0.000000,17.706300,0.225074,0.246038,1.268910,0.238263,0.115643,3.785482,2.519982,0
1784308167.439524,ADAPTIVE,TAKEOFF,0,0.000000,31.652535,0.225986,0.247573,1.266101,0.238263,0.115643,3.847279,2.584576,0
1784308167.489549,ADAPTIVE,TAKEOFF,0,0.000000,17.761737,0.228606,0.250204,1.255632,0.238263,0.115643,3.909130,2.656926,0
1784308167.539537,ADAPTIVE,TAKEOFF,0,0.000000,31.760403,0.230640,0.251529,1.246746,0.238263,0.115643,3.970938,2.727590,0
1784308167.589515,ADAPTIVE,TAKEOFF,0,0.000000,17.719960,0.233656,0.252516,1.235670,0.238263,0.115643,4.032729,2.800410,0
1784308167.639530,ADAPTIVE,TAKEOFF,0,0.000000,31.899709,0.235687,0.249785,1.234294,0.238263,0.115643,4.094570,2.863421,0
1784308167.689517,ADAPTIVE,TAKEOFF,0,0.000000,17.790068,0.239358,0.245112,1.231994,0.238263,0.115643,4.156374,2.927245,0
1784308167.739528,ADAPTIVE,TAKEOFF,0,0.000000,31.832601,0.241615,0.243094,1.232854,0.238263,0.115643,4.218208,2.988076,0
1784308167.789510,ADAPTIVE,TAKEOFF,0,0.000000,17.624910,0.245223,0.240898,1.236235,0.238263,0.115643,4.280006,3.046355,0
1784308167.839516,ADAPTIVE,TAKEOFF,0,0.000000,31.681200,0.246899,0.239918,1.237835,0.238263,0.115643,4.341835,3.106498,0
1784308167.889516,ADAPTIVE,TAKEOFF,0,0.000000,17.717773,0.248366,0.236400,1.237599,0.238263,0.115643,4.403655,3.168374,0
1784308167.939529,ADAPTIVE,TAKEOFF,0,0.000000,31.852117,0.249062,0.234410,1.237375,0.238263,0.115643,4.465493,3.230319,0
1784308167.989512,ADAPTIVE,TAKEOFF,0,0.000000,17.719897,0.250931,0.230300,1.235171,0.238263,0.115643,4.527293,3.294143,0
1784308168.039512,ADAPTIVE,TAKEOFF,0,0.000000,31.774230,0.252174,0.227819,1.233312,0.238263,0.115643,4.589113,3.357704,0
1784308168.089521,ADAPTIVE,TAKEOFF,0,0.000000,17.743702,0.254410,0.223271,1.230702,0.238263,0.115643,4.650945,3.421974,0
1784308168.139516,ADAPTIVE,TAKEOFF,0,0.000000,31.849633,0.256096,0.219891,1.231033,0.238263,0.115643,4.712759,3.483332,0
1784308168.189520,ADAPTIVE,TAKEOFF,0,0.000000,17.805207,0.258390,0.215436,1.231683,0.238263,0.115643,4.774586,3.544365,0
1784308168.239522,ADAPTIVE,TAKEOFF,0,0.000000,31.833654,0.259886,0.212544,1.233623,0.238263,0.115643,4.836409,3.604154,0
