epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784308582.557860,CONST330,TAKEOFF,0,0.000000,15.523215,0.168699,-0.006125,1.674874,0.169868,-0.005016,1.728271,0.053421,0
1784308582.607879,CONST330,TAKEOFF,0,0.000000,33.512192,0.167643,-0.005692,1.674673,0.169868,-0.005016,1.783698,0.109049,0
1784308582.657866,CONST330,TAKEOFF,0,0.000000,15.524189,0.165651,-0.002433,1.674908,0.169868,-0.005016,1.839088,0.164254,0
1784308582.707857,CONST330,TAKEOFF,0,0.000000,33.302187,0.164650,-0.001268,1.674807,0.169868,-0.005016,1.894483,0.219770,0
1784308582.757857,CONST330,TAKEOFF,0,0.000000,15.612042,0.163766,-0.003152,1.675185,0.169868,-0.005016,1.949889,0.274778,0
1784308582.807858,CONST330,TAKEOFF,0,0.000000,33.384724,0.163401,-0.004297,1.675222,0.169868,-0.005016,2.005296,0.330137,0
1784308582.857870,CONST330,TAKEOFF,0,0.000000,15.598646,0.162540,-0.003683,1.676254,0.169868,-0.005016,2.060714,0.384532,0
1784308582.907870,CONST330,TAKEOFF,0,0.000000,33.252409,0.162044,-0.002131,1.677172,0.169868,-0.005016,2.116119,0.439026,0
1784308582.957862,CONST330,TAKEOFF,0,0.000000,15.528858,0.160573,0.000572,1.679172,0.169868,-0.005016,2.171514,0.492462,0
1784308583.007843,CONST330,TAKEOFF,0,0.000000,33.336523,0.159195,0.001632,1.682250,0.169868,-0.005016,2.226899,0.544795,0
1784308583.057871,CONST330,TAKEOFF,0,0.000000,15.604975,0.156483,0.003151,1.687185,0.169868,-0.005016,2.282336,0.595358,0
1784308583.107898,CONST330,TAKEOFF,0,0.000000,33.453810,0.156107,0.003526,1.690335,0.169868,-0.005016,2.337773,0.647640,0
1784308583.157875,CONST330,TAKEOFF,0,0.000000,15.530920,0.157023,0.003603,1.698302,0.169868,-0.005016,2.393152,0.695022,0
1784308583.207856,CONST330,TAKEOFF,0,0.000000,33.394267,0.157242,0.003498,1.701126,0.169868,-0.005016,2.448536,0.747565,0
1784308583.257878,CONST330,TAKEOFF,0,0.000000,15.573537,0.151747,0.004403,1.706327,0.169868,-0.005016,2.503965,0.797899,0
1784308583.307893,CONST330,TAKEOFF,0,0.000000,33.424169,0.148756,0.004734,1.708519,0.169868,-0.005016,2.559387,0.851185,0
1784308583.357883,CONST330,TAKEOFF,0,0.000000,15.545570,0.143608,0.004533,1.712137,0.169868,-0.005016,2.614782,0.903077,0
1784308583.407869,CONST330,TAKEOFF,0,0.000000,33.375766,0.141845,0.004134,1.713316,0.169868,-0.005016,2.670170,0.957308,0
1784308583.457871,CONST330,TAKEOFF,0,0.000000,15.505481,0.137921,0.003638,1.715975,0.169868,-0.005016,2.725578,1.010145,0
1784308583.507861,CONST330,TAKEOFF,0,0.000000,33.370290,0.134548,0.005008,1.719921,0.169868,-0.005016,2.780972,1.061686,0
1784308583.557857,CONST330,TAKEOFF,0,0.000000,15.545795,0.127302,0.007314,1.727401,0.169868,-0.005016,2.836373,1.109857,0
1784308583.607859,CONST330,TAKEOFF,0,0.000000,33.472258,0.124294,0.007796,1.731047,0.169868,-0.005016,2.891781,1.161699,0
1784308583.657883,CONST330,TAKEOFF,0,0.000000,15.507186,0.118544,0.007995,1.738779,0.169868,-0.005016,2.947214,1.209594,0
1784308583.707891,CONST330,TAKEOFF,0,0.000000,33.200464,0.115724,0.007979,1.742074,0.169868,-0.005016,3.002627,1.261782,0
1784308583.757873,CONST330,TAKEOFF,0,0.000000,15.587018,0.105228,0.005563,1.751228,0.169868,-0.005016,3.058012,1.308425,0
1784308583.807882,CONST330,TAKEOFF,0,0.000000,33.346009,0.100630,0.004411,1.754756,0.169868,-0.005016,3.113428,1.360467,0
1784308583.857892,CONST330,TAKEOFF,0,0.000000,15.634019,0.093409,0.003759,1.758880,0.169868,-0.005016,3.168844,1.412063,0
1784308583.907882,CONST330,TAKEOFF,0,0.000000,33.423901,0.090688,0.004223,1.759728,0.169868,-0.005016,3.224238,1.466678,0
1784308583.957878,CONST330,TAKEOFF,0,0.000000,15.541869,0.085453,0.005529,1.761089,0.169868,-0.005016,3.279639,1.520931,0
1784308584.007858,CONST330,TAKEOFF,0,0.000000,33.358458,0.084640,0.007919,1.761510,0.169868,-0.005016,3.335022,1.575872,0
