epoch_sec,mode,phase,N,mppi_call_ms,state_to_command_latency_ms,pos_x,pos_y,pos_z,target_x,target_y,target_z,pos_error_m,deadline_miss
1784308805.440448,FIXED400,TAKEOFF,0,0.000000,23.366069,-0.003388,-0.039867,0.485319,-0.003388,-0.039867,0.520473,0.035155,0
1784308805.490443,FIXED400,TAKEOFF,0,0.000000,5.906955,-0.009790,-0.046486,0.483213,-0.003388,-0.039867,0.595708,0.112871,0
1784308805.540467,FIXED400,TAKEOFF,0,0.000000,23.745240,-0.011629,-0.049014,0.482851,-0.003388,-0.039867,0.670990,0.188541,0
1784308805.590451,FIXED400,TAKEOFF,0,0.000000,5.866827,-0.014391,-0.053555,0.482437,-0.003388,-0.039867,0.746210,0.264358,0
1784308805.640455,FIXED400,TAKEOFF,0,0.000000,23.675075,-0.015627,-0.055697,0.482371,-0.003388,-0.039867,0.821461,0.339680,0
1784308805.690450,FIXED400,TAKEOFF,0,0.000000,5.897084,-0.015009,-0.058666,0.497953,-0.003388,-0.039867,0.896697,0.399357,0
1784308805.740469,FIXED400,TAKEOFF,0,0.000000,23.757018,-0.014698,-0.059790,0.503926,-0.003388,-0.039867,0.971972,0.468606,0
1784308805.790482,FIXED400,TAKEOFF,0,0.000000,5.937970,-0.015390,-0.057719,0.511478,-0.003388,-0.039867,1.047235,0.536189,0
1784308805.840469,FIXED400,TAKEOFF,0,0.000000,23.590508,-0.016060,-0.055673,0.514055,-0.003388,-0.039867,1.122461,0.608743,0
1784308805.890461,FIXED400,TAKEOFF,0,0.000000,5.893977,-0.017677,-0.051828,0.519077,-0.003388,-0.039867,1.197694,0.678873,0
1784308805.940472,FIXED400,TAKEOFF,0,0.000000,23.670975,-0.018765,-0.050319,0.521068,-0.003388,-0.039867,1.272954,0.752117,0
1784308805.990501,FIXED400,TAKEOFF,0,0.000000,5.945144,-0.020855,-0.047754,0.524539,-0.003388,-0.039867,1.348244,0.823928,0
1784308806.040476,FIXED400,TAKEOFF,0,0.000000,23.703399,-0.020897,-0.046580,0.527764,-0.003388,-0.039867,1.423452,0.895884,0
1784308806.090458,FIXED400,TAKEOFF,0,0.000000,5.928725,-0.020464,-0.044317,0.535098,-0.003388,-0.039867,1.498667,0.963731,0
1784308806.140481,FIXED400,TAKEOFF,0,0.000000,23.735915,-0.020426,-0.043551,0.537935,-0.003388,-0.039867,1.573947,1.036159,0
1784308806.190459,FIXED400,TAKEOFF,0,0.000000,5.885827,-0.023556,-0.040493,0.543640,-0.003388,-0.039867,1.649159,1.105702,0
1784308806.240468,FIXED400,TAKEOFF,0,0.000000,23.612857,-0.025051,-0.039300,0.546200,-0.003388,-0.039867,1.724417,1.178416,0
1784308806.290453,FIXED400,TAKEOFF,0,0.000000,5.946069,-0.025919,-0.036051,0.552578,-0.003388,-0.039867,1.799639,1.247270,0
1784308806.340456,FIXED400,TAKEOFF,0,0.000000,23.667664,-0.025821,-0.034621,0.555338,-0.003388,-0.039867,1.874888,1.319751,0
1784308806.390455,FIXED400,TAKEOFF,0,0.000000,5.912581,-0.025467,-0.030705,0.559369,-0.003388,-0.039867,1.950131,1.390968,0
1784308806.440464,FIXED400,TAKEOFF,0,0.000000,23.596123,-0.025038,-0.026893,0.560140,-0.003388,-0.039867,2.025389,1.465466,0
1784308806.490458,FIXED400,TAKEOFF,0,0.000000,5.856509,-0.024286,-0.019499,0.561593,-0.003388,-0.039867,2.100624,1.539307,0
1784308806.540484,FIXED400,TAKEOFF,0,0.000000,23.612377,-0.023441,-0.018673,0.561376,-0.003388,-0.039867,2.175910,1.614798,0
1784308806.590456,FIXED400,TAKEOFF,0,0.000000,5.960349,-0.021782,-0.018629,0.560368,-0.003388,-0.039867,2.251111,1.690977,0
1784308806.640462,FIXED400,TAKEOFF,0,0.000000,23.770481,-0.021094,-0.018645,0.559934,-0.003388,-0.039867,2.326366,1.766648,0
1784308806.690459,FIXED400,TAKEOFF,0,0.000000,5.960212,-0.020549,-0.016116,0.561211,-0.003388,-0.039867,2.401605,1.840627,0
1784308806.740486,FIXED400,TAKEOFF,0,0.000000,23.812679,-0.020372,-0.015248,0.561655,-0.003388,-0.039867,2.476892,1.915471,0
1784308806.790503,FIXED400,TAKEOFF,0,0.000000,5.958350,-0.018382,-0.017067,0.562090,-0.003388,-0.039867,2.552161,1.990257,0
1784308806.840482,FIXED400,TAKEOFF,0,0.000000,23.840930,-0.016963,-0.018832,0.562221,-0.003388,-0.039867,2.627375,2.065306,0
1784308806.890463,FIXED400,TAKEOFF,0,0.000000,5.820301,-0.013768,-0.022455,0.561492,-0.003388,-0.039867,2.702591,2.141195,0
1784308806.940475,FIXED400,TAKEOFF,0,0.000000,23.743894,-0.012097,-0.023949,0.559990,-0.003388,-0.039867,2.777852,2.217936,0
1784308806.990469,FIXED400,TAKEOFF,0,0.000000,5.941648,-0.009126,-0.027194,0.557156,-0.003388,-0.039867,2.853089,2.295974,0
1784308807.040473,FIXED400,TAKEOFF,0,0.000000,23.768043,-0.007315,-0.026952,0.556636,-0.003388,-0.039867,2.928339,2.371742,0
1784308807.090477,FIXED400,TAKEOFF,0,0.000000,5.948718,-0.003266,-0.025505,0.555965,-0.003388,-0.039867,3.003590,2.447667,0
1784308807.140485,FIXED400,TAKEOFF,0,0.000000,23.800345,-0.001642,-0.025009,0.555684,-0.003388,-0.039867,3.078846,2.523206,0
1784308807.190479,FIXED400,TAKEOFF,0,0.000000,5.967068,0.005248,-0.027951,0.553467,-0.003388,-0.039867,3.154082,2.600657,0
1784308807.240492,FIXED400,TAKEOFF,0,0.000000,23.727913,0.008352,-0.029323,0.552545,-0.003388,-0.039867,3.229347,2.676848,0
1784308807.290481,FIXED400,TAKEOFF,0,0.000000,5.955375,0.012714,-0.027608,0.554398,-0.003388,-0.039867,3.304574,2.750251,0
1784308807.340491,FIXED400,TAKEOFF,0,0.000000,23.681429,0.014125,-0.026045,0.555850,-0.003388,-0.039867,3.379834,2.824072,0
1784308807.390489,FIXED400,TAKEOFF,0,0.000000,5.926952,0.016835,-0.024149,0.557634,-0.003388,-0.039867,3.455076,2.897555,0
1784308807.440492,FIXED400,TAKEOFF,0,0.000000,23.519879,0.018154,-0.024540,0.557593,-0.003388,-0.039867,3.530327,2.972851,0
1784308807.490475,FIXED400,TAKEOFF,0,0.000000,5.944891,0.020989,-0.025231,0.557383,-0.003388,-0.039867,3.605544,3.048294,0
1784308807.540512,FIXED400,TAKEOFF,0,0.000000,23.755256,0.021182,-0.026428,0.553055,-0.003388,-0.039867,3.680846,3.127917,0
1784308807.590486,FIXED400,TAKEOFF,0,0.000000,5.952498,0.020940,-0.029063,0.542657,-0.003388,-0.039867,3.756051,3.213504,0
1784308807.640487,FIXED400,TAKEOFF,0,0.000000,23.699748,0.020829,-0.030171,0.538066,-0.003388,-0.039867,3.831298,3.293335,0
1784308807.690492,FIXED400,TAKEOFF,0,0.000000,5.908247,0.022778,-0.033674,0.528539,-0.003388,-0.039867,3.906548,3.378116,0
1784308807.740504,FIXED400,TAKEOFF,0,0.000000,23.621710,0.023662,-0.035009,0.524801,-0.003388,-0.039867,3.981812,3.457120,0
1784308807.790514,FIXED400,TAKEOFF,0,0.000000,5.997968,0.023556,-0.037177,0.518588,-0.003388,-0.039867,4.057070,3.538586,0
1784308807.840485,FIXED400,TAKEOFF,0,0.000000,23.854884,0.023043,-0.037956,0.516003,-0.003388,-0.039867,4.132273,3.616367,0
1784308807.890485,FIXED400,TAKEOFF,0,0.000000,5.944718,0.021554,-0.039233,0.510284,-0.003388,-0.039867,4.207519,3.697320,0
1784308807.940486,FIXED400,TAKEOFF,0,0.000000,23.863731,0.020039,-0.039542,0.507469,-0.003388,-0.039867,4.282764,3.775367,0
1784308807.990510,FIXED400,TAKEOFF,0,0.000000,5.870370,0.017610,-0.039766,0.502455,-0.003388,-0.039867,4.358044,3.855647,0
1784308808.040502,FIXED400,TAKEOFF,0,0.000000,23.798249,0.016594,-0.038705,0.505349,-0.003388,-0.039867,4.433276,3.927978,0
1784308808.090615,FIXED400,TAKEOFF,0,0.000000,6.088600,0.014709,-0.035486,0.514282,-0.003388,-0.039867,4.508691,3.994452,0
1784308808.140499,FIXED400,TAKEOFF,0,0.000000,23.842755,0.014034,-0.034038,0.517712,-0.003388,-0.039867,4.583762,4.066091,0
1784308808.190510,FIXED400,TAKEOFF,0,0.000000,5.969379,0.012067,-0.028909,0.528363,-0.003388,-0.039867,4.659023,4.130704,0
1784308808.240489,FIXED400,TAKEOFF,0,0.000000,23.790675,0.011296,-0.026485,0.533004,-0.003388,-0.039867,4.734236,4.201278,0
1784308808.290519,FIXED400,TAKEOFF,0,0.000000,5.894255,0.010203,-0.020064,0.545417,-0.003388,-0.039867,4.809526,4.264176,0
1784308808.340488,FIXED400,TAKEOFF,0,0.000000,23.768462,0.009920,-0.017138,0.550815,-0.003388,-0.039867,4.884724,4.333989,0
1784308808.390495,FIXED400,TAKEOFF,0,0.000000,5.974933,0.009560,-0.012757,0.559626,-0.003388,-0.039867,4.959980,4.400456,0
1784308808.440505,FIXED400,WAITING,0,0.000000,23.892682,0.009214,-0.012005,0.562842,-0.003388,-0.039867,5.000000,4.437263,0
1784308808.490493,FIXED400,WAITING,0,0.000000,5.820827,0.009024,-0.010309,0.568633,0.000000,0.000000,5.000000,4.431388,0
1784308808.540503,FIXED400,TRACKING,400,37.479835,61.016773,0.007750,-0.010205,0.573455,0.000000,0.000000,5.000000,4.426563,0
1784308808.590497,FIXED400,TRACKING,400,39.690939,45.600840,0.005009,-0.010379,0.583091,0.000000,0.000000,5.000000,4.416924,0
1784308808.640494,FIXED400,TRACKING,400,22.973947,33.140654,0.004012,-0.010451,0.587108,0.000000,0.000000,5.000000,4.412906,0
1784308808.690513,FIXED400,TRACKING,400,33.102605,38.856707,0.000092,-0.008643,0.589611,0.000000,0.000000,5.000000,4.410398,0
1784308808.740499,FIXED400,TRACKING,400,23.937716,40.753434,-0.001274,-0.007964,0.590389,0.000000,0.000000,5.000000,4.409618,0
1784308808.790488,FIXED400,TRACKING,400,34.145163,40.007440,-0.004390,-0.006999,0.594766,0.000000,0.000000,5.000000,4.405242,0
1784308808.840496,FIXED400,TRACKING,400,24.454293,40.243333,-0.005916,-0.006660,0.597480,0.000000,0.000000,5.000000,4.402529,0
1784308808.890506,FIXED400,TRACKING,400,40.373482,46.327187,-0.009386,-0.005915,0.602989,0.000000,0.000000,5.000000,4.397025,0
1784308808.940495,FIXED400,TRACKING,400,23.575099,33.104216,-0.011613,-0.005587,0.605922,0.000000,0.000000,5.000000,4.394097,0
1784308808.990520,FIXED400,TRACKING,400,28.187522,34.121089,-0.015395,-0.004965,0.610666,0.000000,0.000000,5.000000,4.389364,0
1784308809.040519,FIXED400,TRACKING,400,27.301874,49.046007,-0.017014,-0.005306,0.612880,0.000000,0.000000,5.000000,4.387157,0
1784308809.090518,FIXED400,TRACKING,400,27.075690,32.951691,-0.019917,-0.006504,0.616921,0.000000,0.000000,5.000000,4.383129,0
1784308809.140510,FIXED400,TRACKING,400,26.738848,49.590033,-0.020923,-0.007028,0.618282,0.000000,0.000000,5.000000,4.381774,0
1784308809.190523,FIXED400,TRACKING,400,27.565451,33.454962,-0.018638,-0.006467,0.627442,0.000000,0.000000,5.000000,4.372603,0
1784308809.240520,FIXED400,TRACKING,400,27.108635,49.474654,-0.017443,-0.006391,0.631274,0.000000,0.000000,5.000000,4.368766,0
1784308809.290527,FIXED400,TRACKING,400,27.861747,33.814868,-0.015420,-0.007138,0.636799,0.000000,0.000000,5.000000,4.363234,0
1784308809.340525,FIXED400,TRACKING,400,26.707809,48.776623,-0.014688,-0.007678,0.638408,0.000000,0.000000,5.000000,4.361623,0
1784308809.390529,FIXED400,TRACKING,400,27.799096,33.756686,-0.012918,-0.006907,0.640464,0.000000,0.000000,5.000000,4.359560,0
1784308809.440525,FIXED400,TRACKING,400,26.696273,48.796531,-0.011322,-0.003733,0.640663,0.000000,0.000000,5.000000,4.359353,0
1784308809.490513,FIXED400,TRACKING,400,35.058520,40.961980,-0.008028,0.002520,0.640704,0.000000,0.000000,5.000000,4.359304,0
1784308809.540518,FIXED400,TRACKING,400,24.303510,39.164748,-0.006749,0.005084,0.638740,0.000000,0.000000,5.000000,4.361268,0
1784308809.590505,FIXED400,TRACKING,400,35.662361,41.714270,-0.004411,0.009813,0.633949,0.000000,0.000000,5.000000,4.366064,0
1784308809.640519,FIXED400,TRACKING,400,25.100544,39.345777,-0.003278,0.011937,0.631773,0.000000,0.000000,5.000000,4.368245,0
1784308809.690531,FIXED400,TRACKING,400,27.020902,32.984346,-0.000039,0.011775,0.629838,0.000000,0.000000,5.000000,4.370178,0
1784308809.740536,FIXED400,TRACKING,400,27.928640,50.842294,0.001319,0.011808,0.628975,0.000000,0.000000,5.000000,4.371041,0
1784308809.790634,FIXED400,TRACKING,400,27.781863,33.799790,0.003693,0.012955,0.622987,0.000000,0.000000,5.000000,4.377034,0
1784308809.840560,FIXED400,TRACKING,400,28.325997,50.408954,0.004889,0.013796,0.619100,0.000000,0.000000,5.000000,4.380925,0
1784308809.890512,FIXED400,TRACKING,400,28.256255,34.209419,0.007322,0.015306,0.609285,0.000000,0.000000,5.000000,4.390748,0
1784308809.940539,FIXED400,TRACKING,400,27.251597,48.953884,0.007945,0.015500,0.602484,0.000000,0.000000,5.000000,4.397551,0
1784308809.990519,FIXED400,TRACKING,400,32.300212,38.199058,0.009274,0.015931,0.590346,0.000000,0.000000,5.000000,4.409692,0
1784308810.040524,FIXED400,TRACKING,400,25.288560,42.918798,0.008811,0.017816,0.585375,0.000000,0.000000,5.000000,4.414670,0
1784308810.090538,FIXED400,TRACKING,400,37.010469,42.927161,0.007034,0.022646,0.575687,0.000000,0.000000,5.000000,4.424377,0
1784308810.140515,FIXED400,TRACKING,400,23.971556,36.859194,0.006349,0.024602,0.571873,0.000000,0.000000,5.000000,4.428199,0
1784308810.190522,FIXED400,TRACKING,400,30.938414,37.009849,0.003404,0.022823,0.565129,0.000000,0.000000,5.000000,4.434931,0
1784308810.240525,FIXED400,TRACKING,400,25.644741,44.633939,0.002065,0.022191,0.562145,0.000000,0.000000,5.000000,4.437911,0
1784308810.290544,FIXED400,TRACKING,400,27.534064,33.473714,-0.005757,0.020514,0.551332,0.000000,0.000000,5.000000,4.448719,0
1784308810.340547,FIXED400,TRACKING,400,27.499318,49.891980,-0.010162,0.019677,0.546100,0.000000,0.000000,5.000000,4.453955,0
1784308810.390542,FIXED400,TRACKING,400,27.485484,33.360050,-0.018239,0.018896,0.537002,0.000000,0.000000,5.000000,4.463075,0
1784308810.440542,FIXED400,TRACKING,400,27.897675,50.338264,-0.021931,0.019331,0.533443,0.000000,0.000000,5.000000,4.466653,0
1784308810.490532,FIXED400,TRACKING,400,34.486557,40.486970,-0.029530,0.020520,0.526027,0.000000,0.000000,5.000000,4.474118,0
1784308810.540526,FIXED400,TRACKING,400,25.769926,41.173490,-0.032493,0.020343,0.524099,0.000000,0.000000,5.000000,4.476065,0
1784308810.590537,FIXED400,TRACKING,400,31.769244,37.658021,-0.034944,0.020079,0.522787,0.000000,0.000000,5.000000,4.477394,0
1784308810.640530,FIXED400,TRACKING,400,25.753122,43.853872,-0.035283,0.020224,0.523120,0.000000,0.000000,5.000000,4.477064,0
1784308810.690547,FIXED400,TRACKING,400,30.071177,35.996527,-0.034150,0.021574,0.525632,0.000000,0.000000,5.000000,4.474551,0
1784308810.740546,FIXED400,TRACKING,400,28.819419,48.676898,-0.034006,0.022968,0.528752,0.000000,0.000000,5.000000,4.471437,0
1784308810.790527,FIXED400,TRACKING,400,37.455394,43.274756,-0.034623,0.024962,0.534740,0.000000,0.000000,5.000000,4.465464,0
1784308810.840528,FIXED400,TRACKING,400,32.380703,44.849220,-0.035336,0.026262,0.539380,0.000000,0.000000,5.000000,4.460837,0
1784308810.890549,FIXED400,TRACKING,400,27.783884,33.724061,-0.037490,0.031728,0.561206,0.000000,0.000000,5.000000,4.439066,0
1784308810.940546,FIXED400,TRACKING,400,31.217141,53.351098,-0.038461,0.035443,0.579091,0.000000,0.000000,5.000000,4.421219,0
1784308810.990545,FIXED400,TRACKING,400,27.954264,33.936460,-0.039379,0.043982,0.621296,0.000000,0.000000,5.000000,4.379102,0
1784308811.040545,FIXED400,TRACKING,400,26.152641,48.124665,-0.039650,0.049714,0.646189,0.000000,0.000000,5.000000,4.354276,0
1784308811.090528,FIXED400,TRACKING,400,33.165233,39.110860,-0.038647,0.064241,0.710481,0.000000,0.000000,5.000000,4.290174,0
1784308811.140547,FIXED400,TRACKING,400,27.502423,44.273738,-0.037761,0.071078,0.742402,0.000000,0.000000,5.000000,4.258359,0
1784308811.190565,FIXED400,TRACKING,400,37.065864,43.107268,-0.031377,0.085655,0.815481,0.000000,0.000000,5.000000,4.185513,0
1784308811.240534,FIXED400,TRACKING,400,24.623840,37.457991,-0.028142,0.092580,0.853383,0.000000,0.000000,5.000000,4.147746,0
1784308811.290560,FIXED400,TRACKING,400,28.449742,34.376311,-0.016485,0.107359,0.948865,0.000000,0.000000,5.000000,4.052591,0
1784308811.340549,FIXED400,TRACKING,400,26.890898,48.354904,-0.010442,0.113634,0.993129,0.000000,0.000000,5.000000,4.008496,0
1784308811.390655,FIXED400,TRACKING,400,27.129415,33.252381,0.002405,0.125236,1.082118,0.000000,0.000000,5.000000,3.919884,0
1784308811.440538,FIXED400,TRACKING,400,27.021478,49.686636,0.009944,0.130187,1.128194,0.000000,0.000000,5.000000,3.874007,0
1784308811.490532,FIXED400,TRACKING,400,26.711549,30.663038,0.027358,0.139867,1.228673,0.000000,0.000000,5.000000,3.774019,0
1784308811.540534,FIXED400,TRACKING,400,26.317281,49.527114,0.035905,0.144712,1.273563,0.000000,0.000000,5.000000,3.729418,0
1784308811.590536,FIXED400,TRACKING,400,27.030064,33.177724,0.052354,0.153252,1.361216,0.000000,0.000000,5.000000,3.642386,0
1784308811.640538,FIXED400,TRACKING,400,25.538428,48.402961,0.059842,0.156335,1.404559,0.000000,0.000000,5.000000,3.599336,0
1784308811.690537,FIXED400,TRACKING,400,24.692033,30.875327,0.076248,0.158665,1.502531,0.000000,0.000000,5.000000,3.501897,0
1784308811.740543,FIXED400,TRACKING,400,29.065940,53.133997,0.082705,0.159303,1.545772,0.000000,0.000000,5.000000,3.458888,0
1784308811.790532,FIXED400,TRACKING,400,24.279681,25.661463,0.096420,0.155785,1.631287,0.000000,0.000000,5.000000,3.373692,0
1784308811.840544,FIXED400,TRACKING,400,28.981341,53.070625,0.103165,0.152857,1.672509,0.000000,0.000000,5.000000,3.332598,0
1784308811.890535,FIXED400,TRACKING,400,25.374867,26.230628,0.116841,0.146719,1.763268,0.000000,0.000000,5.000000,3.242161,0
1784308811.940539,FIXED400,TRACKING,400,25.623915,49.678914,0.121991,0.144586,1.800403,0.000000,0.000000,5.000000,3.205184,0
1784308811.990544,FIXED400,TRACKING,400,27.531016,33.646717,0.132514,0.139107,1.875892,0.000000,0.000000,5.000000,3.130010,0
1784308812.040541,FIXED400,TRACKING,400,25.811388,48.181621,0.138011,0.135468,1.916314,0.000000,0.000000,5.000000,3.089744,0
1784308812.090539,FIXED400,TRACKING,400,26.106780,30.763194,0.149420,0.125530,2.010378,0.000000,0.000000,5.000000,2.995985,0
1784308812.140518,FIXED400,TRACKING,400,27.127089,50.896967,0.153507,0.120711,2.052417,0.000000,0.000000,5.000000,2.954045,0
1784308812.190544,FIXED400,TRACKING,400,24.966155,47.756332,0.157931,0.113844,2.095075,0.000000,0.000000,5.000000,2.911441,0
1784308812.240559,FIXED400,TRACKING,400,27.201714,51.282654,0.163942,0.099547,2.180652,0.000000,0.000000,5.000000,2.825864,0
1784308812.290549,FIXED400,TRACKING,400,25.873533,31.936388,0.164219,0.079868,2.279461,0.000000,0.000000,5.000000,2.726661,0
1784308812.340572,FIXED400,TRACKING,400,27.705740,51.776475,0.162886,0.070191,2.324584,0.000000,0.000000,5.000000,2.681289,0
1784308812.390556,FIXED400,TRACKING,400,27.994448,34.118705,0.157968,0.048665,2.414977,0.000000,0.000000,5.000000,2.590302,0
1784308812.440570,FIXED400,TRACKING,400,28.851847,50.782696,0.153338,0.035361,2.459006,0.000000,0.000000,5.000000,2.545862,0
1784308812.490556,FIXED400,TRACKING,400,35.205477,41.399351,0.144310,0.007116,2.556920,0.000000,0.000000,5.000000,2.447349,0
1784308812.540560,FIXED400,TRACKING,400,26.655408,41.373131,0.138689,-0.004900,2.602065,0.000000,0.000000,5.000000,2.401947,0
1784308812.590558,FIXED400,TRACKING,400,26.953282,33.030087,0.128010,-0.027604,2.694347,0.000000,0.000000,5.000000,2.309369,0
1784308812.640596,FIXED400,TRACKING,400,37.303104,60.269732,0.123386,-0.038065,2.740890,0.000000,0.000000,5.000000,2.262798,0
1784308812.690558,FIXED400,TRACKING,400,23.545881,29.471171,0.118747,-0.059777,2.842999,0.000000,0.000000,5.000000,2.161095,0
1784308812.740576,FIXED400,TRACKING,400,34.885612,58.714995,0.116579,-0.068515,2.889070,0.000000,0.000000,5.000000,2.115257,0
1784308812.790552,FIXED400,TRACKING,400,36.935266,42.992158,0.109287,-0.085879,2.984508,0.000000,0.000000,5.000000,2.020279,0
