[INFO] [launch]: All log files can be found below /home/drone/.ros/log/2026-07-17-18-16-17-494091-drone-ASUS-TUF-Gaming-F15-FX507VV-FX507VV-56326
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [56327]
[mavros_node-1] [INFO] [1784308577.597843940] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1784308577.597885170] [mavros.mavros_node]: FCU URL: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784308577.597894860] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1784308577.597897995] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1784308577.597900747] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1784308577.601473859] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1784308577.601488298] [mavros.mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1784308577.601495913] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1784308577.601499490] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1784308577.601526111] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1784308577.623612678] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784308577.623644911] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1784308577.623881863] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1784308577.623890373] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1784308577.623898520] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1784308577.624790079] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1784308577.630126023] [mavros.mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1784308577.633706936] [mavros.mavros]: UAS Executor started, threads: 16
[mavros_node-1] [INFO] [1784308577.642438537] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1784308577.642465698] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1784308577.653753443] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1784308577.653776501] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1784308577.656992821] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1784308577.657013068] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1784308577.660001313] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1784308577.660021704] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1784308577.663045430] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1784308577.663065601] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1784308577.666085007] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1784308577.666103239] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1784308577.670859996] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1784308577.670881040] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1784308577.674164640] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1784308577.674186523] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1784308577.678395776] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1784308577.678424197] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1784308577.678429354] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1784308577.682076194] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1784308577.682099162] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1784308577.685483530] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1784308577.685511163] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1784308577.689755964] [mavros.mavros]: Plugin fake_gps created
